objective,operator,n,seed,hit_generation,censored,status
hamming,swap,6,0,14,False,ok
hamming,swap,6,1,32,False,ok
hamming,swap,6,2,21,False,ok
hamming,swap,6,3,0,False,ok
hamming,swap,6,4,55,False,ok
hamming,swap,6,5,29,False,ok
hamming,swap,6,6,8,False,ok
hamming,swap,6,7,18,False,ok
hamming,swap,6,8,12,False,ok
hamming,swap,6,9,20,False,ok
hamming,swap,6,10,17,False,ok
hamming,swap,6,11,82,False,ok
hamming,swap,6,12,4,False,ok
hamming,swap,6,13,24,False,ok
hamming,swap,6,14,4,False,ok
hamming,swap,8,0,56,False,ok
hamming,swap,8,1,63,False,ok
hamming,swap,8,2,154,False,ok
hamming,swap,8,3,41,False,ok
hamming,swap,8,4,58,False,ok
hamming,swap,8,5,155,False,ok
hamming,swap,8,6,68,False,ok
hamming,swap,8,7,64,False,ok
hamming,swap,8,8,20,False,ok
hamming,swap,8,9,36,False,ok
hamming,swap,8,10,54,False,ok
hamming,swap,8,11,55,False,ok
hamming,swap,8,12,104,False,ok
hamming,swap,8,13,48,False,ok
hamming,swap,8,14,20,False,ok
hamming,swap,10,0,78,False,ok
hamming,swap,10,1,32,False,ok
hamming,swap,10,2,209,False,ok
hamming,swap,10,3,121,False,ok
hamming,swap,10,4,74,False,ok
hamming,swap,10,5,149,False,ok
hamming,swap,10,6,156,False,ok
hamming,swap,10,7,65,False,ok
hamming,swap,10,8,119,False,ok
hamming,swap,10,9,109,False,ok
hamming,swap,10,10,250,False,ok
hamming,swap,10,11,136,False,ok
hamming,swap,10,12,72,False,ok
hamming,swap,10,13,100,False,ok
hamming,swap,10,14,33,False,ok
hamming,swap,12,0,359,False,ok
hamming,swap,12,1,104,False,ok
hamming,swap,12,2,265,False,ok
hamming,swap,12,3,198,False,ok
hamming,swap,12,4,103,False,ok
hamming,swap,12,5,271,False,ok
hamming,swap,12,6,93,False,ok
hamming,swap,12,7,156,False,ok
hamming,swap,12,8,134,False,ok
hamming,swap,12,9,277,False,ok
hamming,swap,12,10,122,False,ok
hamming,swap,12,11,190,False,ok
hamming,swap,12,12,189,False,ok
hamming,swap,12,13,174,False,ok
hamming,swap,12,14,192,False,ok
hamming,swap,14,0,181,False,ok
hamming,swap,14,1,162,False,ok
hamming,swap,14,2,299,False,ok
hamming,swap,14,3,227,False,ok
hamming,swap,14,4,192,False,ok
hamming,swap,14,5,194,False,ok
hamming,swap,14,6,229,False,ok
hamming,swap,14,7,322,False,ok
hamming,swap,14,8,273,False,ok
hamming,swap,14,9,369,False,ok
hamming,swap,14,10,191,False,ok
hamming,swap,14,11,213,False,ok
hamming,swap,14,12,150,False,ok
hamming,swap,14,13,226,False,ok
hamming,swap,14,14,282,False,ok
hamming,swap,16,0,410,False,ok
hamming,swap,16,1,287,False,ok
hamming,swap,16,2,363,False,ok
hamming,swap,16,3,375,False,ok
hamming,swap,16,4,602,False,ok
hamming,swap,16,5,157,False,ok
hamming,swap,16,6,349,False,ok
hamming,swap,16,7,433,False,ok
hamming,swap,16,8,656,False,ok
hamming,swap,16,9,329,False,ok
hamming,swap,16,10,252,False,ok
hamming,swap,16,11,266,False,ok
hamming,swap,16,12,540,False,ok
hamming,swap,16,13,713,False,ok
hamming,swap,16,14,339,False,ok
hamming,insert,6,0,10000,True,censored
hamming,insert,6,1,10000,True,censored
hamming,insert,6,2,55,False,ok
hamming,insert,6,3,0,False,ok
hamming,insert,6,4,10000,True,censored
hamming,insert,6,5,56,False,ok
hamming,insert,6,6,32,False,ok
hamming,insert,6,7,61,False,ok
hamming,insert,6,8,10000,True,censored
hamming,insert,6,9,67,False,ok
hamming,insert,6,10,10000,True,censored
hamming,insert,6,11,10000,True,censored
hamming,insert,6,12,61,False,ok
hamming,insert,6,13,28,False,ok
