objective,operator,n,mean_hit,median_hit,censored,runs
adjacency,insert,6,261.6,87.0,0,15
adjacency,inversion,6,27.8,20.0,0,15
adjacency,scramble,6,399.3,68.0,0,15
adjacency,swap,6,6007.5,10000.0,9,15
adjacency,insert,8,1606.1,643.0,0,15
adjacency,inversion,8,134.1,132.0,0,15
adjacency,scramble,8,3997.3,1532.0,4,15
adjacency,swap,8,6696.9,10000.0,10,15
adjacency,insert,10,4655.5,2999.0,4,15
adjacency,inversion,10,390.3,249.0,0,15
adjacency,scramble,10,9363.5,10000.0,14,15
adjacency,swap,10,8883.1,10000.0,13,15
adjacency,insert,12,8213.1,10000.0,9,15
adjacency,inversion,12,345.5,330.0,0,15
adjacency,scramble,12,10000.0,10000.0,15,15
adjacency,swap,12,10000.0,10000.0,15,15
adjacency,insert,14,9935.1,10000.0,14,15
adjacency,inversion,14,529.4,365.0,0,15
adjacency,scramble,14,10000.0,10000.0,15,15
adjacency,swap,14,10000.0,10000.0,15,15
adjacency,insert,16,10000.0,10000.0,15,15
adjacency,inversion,16,1199.3,695.0,0,15
adjacency,scramble,16,10000.0,10000.0,15,15
adjacency,swap,16,10000.0,10000.0,15,15
deceptive,inversion,6,3759.0,3567.0,2,15
deceptive,swap,6,9333.3,10000.0,14,15
deceptive,inversion,8,9924.5,10000.0,14,15
deceptive,swap,8,10000.0,10000.0,15,15
deceptive,inversion,10,10000.0,10000.0,15,15
deceptive,swap,10,10000.0,10000.0,15,15
hamming,insert,6,4690.7,67.0,7,15
hamming,inversion,6,2066.5,107.0,3,15
hamming,scramble,6,734.3,76.0,0,15
hamming,swap,6,22.7,18.0,0,15
hamming,insert,8,9357.3,10000.0,14,15
hamming,inversion,8,5426.3,10000.0,8,15
hamming,scramble,8,3153.9,1651.0,3,15
hamming,swap,8,66.4,56.0,0,15
hamming,insert,10,10000.0,10000.0,15,15
hamming,inversion,10,8274.2,10000.0,12,15
hamming,scramble,10,8016.7,10000.0,10,15
hamming,swap,10,113.5,109.0,0,15
hamming,insert,12,10000.0,10000.0,15,15
hamming,inversion,12,9388.3,10000.0,14,15
hamming,scramble,12,8587.3,10000.0,12,15
hamming,swap,12,188.5,189.0,0,15
hamming,insert,14,10000.0,10000.0,15,15
hamming,inversion,14,10000.0,10000.0,15,15
hamming,scramble,14,10000.0,10000.0,15,15
hamming,swap,14,234.0,226.0,0,15
hamming,insert,16,10000.0,10000.0,15,15
hamming,inversion,16,10000.0,10000.0,15,15
hamming,scramble,16,10000.0,10000.0,15,15
hamming,swap,16,404.7,363.0,0,15
kendall,insert,6,21.3,22.0,0,15
kendall,inversion,6,32.1,32.0,0,15
kendall,scramble,6,32.2,28.0,0,15
kendall,swap,6,28.1,28.0,0,15
kendall,insert,8,70.2,62.0,0,15
kendall,inversion,8,88.3,96.0,0,15
kendall,scramble,8,79.7,74.0,0,15
kendall,swap,8,85.3,70.0,0,15
kendall,insert,10,121.1,121.0,0,15
kendall,inversion,10,154.3,143.0,0,15
kendall,scramble,10,150.8,130.0,0,15
kendall,swap,10,156.5,163.0,0,15
kendall,insert,12,223.9,223.0,0,15
kendall,inversion,12,282.9,294.0,0,15
kendall,scramble,12,237.8,221.0,0,15
kendall,swap,12,199.1,179.0,0,15
kendall,insert,14,322.3,311.0,0,15
kendall,inversion,14,441.5,382.0,0,15
kendall,scramble,14,352.7,360.0,0,15
kendall,swap,14,339.4,316.0,0,15
kendall,insert,16,396.1,419.0,0,15
kendall,inversion,16,587.9,599.0,0,15
kendall,scramble,16,540.0,480.0,0,15
kendall,swap,16,440.3,411.0,0,15
