objective,mode,n,seed,hit_generation,censored,evaluations,operator_weights,status
hamming,portfolio,6,0,43,False,880,"{""swap"": 0.25, ""insert"": 0.25, ""inversion"": 0.25, ""scramble"": 0.25}",ok
hamming,portfolio,6,1,43,False,880,"{""swap"": 0.25, ""insert"": 0.25, ""inversion"": 0.25, ""scramble"": 0.25}",ok
hamming,portfolio,6,2,152,False,3060,"{""swap"": 0.25, ""insert"": 0.25, ""inversion"": 0.25, ""scramble"": 0.25}",ok
hamming,portfolio,6,3,0,False,20,"{""swap"": 0.25, ""insert"": 0.25, ""inversion"": 0.25, ""scramble"": 0.25}",ok
hamming,portfolio,6,4,51,False,1040,"{""swap"": 0.25, ""insert"": 0.25, ""inversion"": 0.25, ""scramble"": 0.25}",ok
hamming,portfolio,6,5,11,False,240,"{""swap"": 0.25, ""insert"": 0.25, ""inversion"": 0.25, ""scramble"": 0.25}",ok
hamming,portfolio,6,6,30,False,620,"{""swap"": 0.25, ""insert"": 0.25, ""inversion"": 0.25, ""scramble"": 0.25}",ok
hamming,portfolio,6,7,8,False,180,"{""swap"": 0.25, ""insert"": 0.25, ""inversion"": 0.25, ""scramble"": 0.25}",ok
hamming,portfolio,6,8,115,False,2320,"{""swap"": 0.25, ""insert"": 0.25, ""inversion"": 0.25, ""scramble"": 0.25}",ok
hamming,portfolio,6,9,53,False,1080,"{""swap"": 0.25, ""insert"": 0.25, ""inversion"": 0.25, ""scramble"": 0.25}",ok
hamming,portfolio,6,10,30,False,620,"{""swap"": 0.25, ""insert"": 0.25, ""inversion"": 0.25, ""scramble"": 0.25}",ok
hamming,portfolio,6,11,41,False,840,"{""swap"": 0.25, ""insert"": 0.25, ""inversion"": 0.25, ""scramble"": 0.25}",ok
hamming,portfolio,6,12,67,False,1360,"{""swap"": 0.25, ""insert"": 0.25, ""inversion"": 0.25, ""scramble"": 0.25}",ok
hamming,portfolio,6,13,34,False,700,"{""swap"": 0.25, ""insert"": 0.25, ""inversion"": 0.25, ""scramble"": 0.25}",ok
hamming,portfolio,6,14,85,False,1720,"{""swap"": 0.25, ""insert"": 0.25, ""inversion"": 0.25, ""scramble"": 0.25}",ok
hamming,portfolio,8,0,136,False,2740,"{""swap"": 0.25, ""insert"": 0.25, ""inversion"": 0.25, ""scramble"": 0.25}",ok
hamming,portfolio,8,1,107,False,2160,"{""swap"": 0.25, ""insert"": 0.25, ""inversion"": 0.25, ""scramble"": 0.25}",ok
hamming,portfolio,8,2,227,False,4560,"{""swap"": 0.25, ""insert"": 0.25, ""inversion"": 0.25, ""scramble"": 0.25}",ok
hamming,portfolio,8,3,67,False,1360,"{""swap"": 0.25, ""insert"": 0.25, ""inversion"": 0.25, ""scramble"": 0.25}",ok
hamming,portfolio,8,4,84,False,1700,"{""swap"": 0.25, ""insert"": 0.25, ""inversion"": 0.25, ""scramble"": 0.25}",ok
hamming,portfolio,8,5,50,False,1020,"{""swap"": 0.25, ""insert"": 0.25, ""inversion"": 0.25, ""scramble"": 0.25}",ok
