objective,mode,n,mean_hit,matched_mean,overhead_vs_matched,censored
hamming,portfolio,6,50.9,22.7,2.24,0
hamming,adaptive,6,57.8,22.7,2.55,0
hamming,portfolio,8,144.3,66.4,2.17,0
hamming,adaptive,8,163.1,66.4,2.46,0
hamming,portfolio,10,304.3,113.5,2.68,0
hamming,adaptive,10,274.5,113.5,2.42,0
hamming,portfolio,12,399.7,188.5,2.12,0
hamming,adaptive,12,371.9,188.5,1.97,0
hamming,portfolio,14,733.9,234.0,3.14,0
hamming,adaptive,14,696.3,234.0,2.98,0
hamming,portfolio,16,1140.3,404.7,2.82,0
hamming,adaptive,16,882.6,404.7,2.18,0
kendall,portfolio,6,39.9,21.3,1.87,0
kendall,adaptive,6,29.7,21.3,1.39,0
kendall,portfolio,8,80.1,70.2,1.14,0
kendall,adaptive,8,93.1,70.2,1.33,0
kendall,portfolio,10,127.5,121.1,1.05,0
kendall,adaptive,10,137.5,121.1,1.14,0
kendall,portfolio,12,202.3,223.9,0.9,0
kendall,adaptive,12,254.7,223.9,1.14,0
kendall,portfolio,14,346.3,322.3,1.07,0
kendall,adaptive,14,332.5,322.3,1.03,0
kendall,portfolio,16,501.1,396.1,1.27,0
kendall,adaptive,16,457.6,396.1,1.16,0
adjacency,portfolio,6,78.3,27.8,2.82,0
adjacency,adaptive,6,67.1,27.8,2.41,0
adjacency,portfolio,8,241.5,134.1,1.8,0
adjacency,adaptive,8,191.2,134.1,1.43,0
adjacency,portfolio,10,935.9,390.3,2.4,0
adjacency,adaptive,10,874.9,390.3,2.24,0
adjacency,portfolio,12,783.9,345.5,2.27,0
adjacency,adaptive,12,2002.4,345.5,5.8,0
adjacency,portfolio,14,2149.9,529.4,4.06,0
adjacency,adaptive,14,1167.7,529.4,2.21,0
adjacency,portfolio,16,1915.4,1199.3,1.6,0
adjacency,adaptive,16,2591.8,1199.3,2.16,1
