perm,fitness
"[0, 1, 2, 3, 4, 5]",0.9166666666666666
"[0, 1, 2, 3, 5, 4]",0.8333333333333334
"[0, 1, 2, 4, 3, 5]",0.5833333333333334
"[0, 1, 2, 4, 5, 3]",0.75
"[0, 1, 2, 5, 3, 4]",1.0
"[0, 1, 2, 5, 4, 3]",1.0
"[0, 1, 3, 2, 4, 5]",0.5833333333333334
"[0, 1, 3, 2, 5, 4]",0.6666666666666666
"[0, 1, 3, 4, 2, 5]",0.75
"[0, 1, 3, 4, 5, 2]",0.8333333333333334
"[0, 1, 3, 5, 2, 4]",0.6666666666666666
"[0, 1, 3, 5, 4, 2]",0.6666666666666666
"[0, 1, 4, 2, 3, 5]",0.75
"[0, 1, 4, 2, 5, 3]",0.9166666666666666
"[0, 1, 4, 3, 2, 5]",0.6666666666666666
"[0, 1, 4, 3, 5, 2]",0.8333333333333334
"[0, 1, 4, 5, 2, 3]",0.8333333333333334
"[0, 1, 4, 5, 3, 2]",0.75
"[0, 1, 5, 2, 3, 4]",0.9166666666666666
"[0, 1, 5, 2, 4, 3]",0.5833333333333334
"[0, 1, 5, 3, 2, 4]",0.6666666666666666
"[0, 1, 5, 3, 4, 2]",0.75
"[0, 1, 5, 4, 2, 3]",0.9166666666666666
"[0, 1, 5, 4, 3, 2]",0.75
"[0, 2, 1, 3, 4, 5]",0.8333333333333334
"[0, 2, 1, 3, 5, 4]",0.75
"[0, 2, 1, 4, 3, 5]",0.6666666666666666
"[0, 2, 1, 4, 5, 3]",0.75
"[0, 2, 1, 5, 3, 4]",0.9166666666666666
"[0, 2, 1, 5, 4, 3]",0.5833333333333334
"[0, 2, 3, 1, 4, 5]",0.6666666666666666
"[0, 2, 3, 1, 5, 4]",0.75
"[0, 2, 3, 4, 1, 5]",0.9166666666666666
"[0, 2, 3, 4, 5, 1]",0.8333333333333334
"[0, 2, 3, 5, 1, 4]",0.8333333333333334
"[0, 2, 3, 5, 4, 1]",0.6666666666666666
"[0, 2, 4, 1, 3, 5]",0.8333333333333334
"[0, 2, 4, 1, 5, 3]",0.8333333333333334
"[0, 2, 4, 3, 1, 5]",0.9166666666666666
"[0, 2, 4, 3, 5, 1]",0.8333333333333334
"[0, 2, 4, 5, 1, 3]",0.6666666666666666
"[0, 2, 4, 5, 3, 1]",0.8333333333333334
"[0, 2, 5, 1, 3, 4]",0.9166666666666666
"[0, 2, 5, 1, 4, 3]",0.9166666666666666
"[0, 2, 5, 3, 1, 4]",0.9166666666666666
"[0, 2, 5, 3, 4, 1]",0.8333333333333334
"[0, 2, 5, 4, 1, 3]",0.75
"[0, 2, 5, 4, 3, 1]",0.9166666666666666
"[0, 3, 1, 2, 4, 5]",0.8333333333333334
"[0, 3, 1, 2, 5, 4]",0.5833333333333334
"[0, 3, 1, 4, 2, 5]",0.6666666666666666
"[0, 3, 1, 4, 5, 2]",0.5833333333333334
"[0, 3, 1, 5, 2, 4]",0.8333333333333334
"[0, 3, 1, 5, 4, 2]",0.5833333333333334
"[0, 3, 2, 1, 4, 5]",0.6666666666666666
"[0, 3, 2, 1, 5, 4]",0.75
"[0, 3, 2, 4, 1, 5]",0.8333333333333334
"[0, 3, 2, 4, 5, 1]",0.75
"[0, 3, 2, 5, 1, 4]",0.9166666666666666
"[0, 3, 2, 5, 4, 1]",0.9166666666666666
"[0, 3, 4, 1, 2, 5]",0.5833333333333334
"[0, 3, 4, 1, 5, 2]",0.75
"[0, 3, 4, 2, 1, 5]",0.75
"[0, 3, 4, 2, 5, 1]",1.0
"[0, 3, 4, 5, 1, 2]",0.9166666666666666
"[0, 3, 4, 5, 2, 1]",0.75
"[0, 3, 5, 1, 2, 4]",1.0
"[0, 3, 5, 1, 4, 2]",0.75
"[0, 3, 5, 2, 1, 4]",0.8333333333333334
"[0, 3, 5, 2, 4, 1]",0.8333333333333334
"[0, 3, 5, 4, 1, 2]",0.8333333333333334
"[0, 3, 5, 4, 2, 1]",0.8333333333333334
"[0, 4, 1, 2, 3, 5]",0.9166666666666666
"[0, 4, 1, 2, 5, 3]",0.75
"[0, 4, 1, 3, 2, 5]",0.75
"[0, 4, 1, 3, 5, 2]",0.6666666666666666
"[0, 4, 1, 5, 2, 3]",0.9166666666666666
"[0, 4, 1, 5, 3, 2]",1.0
"[0, 4, 2, 1, 3, 5]",0.9166666666666666
"[0, 4, 2, 1, 5, 3]",0.8333333333333334
"[0, 4, 2, 3, 1, 5]",0.8333333333333334
"[0, 4, 2, 3, 5, 1]",0.5
"[0, 4, 2, 5, 1, 3]",0.9166666666666666
"[0, 4, 2, 5, 3, 1]",0.75
"[0, 4, 3, 1, 2, 5]",0.5
"[0, 4, 3, 1, 5, 2]",0.9166666666666666
"[0, 4, 3, 2, 1, 5]",0.9166666666666666
"[0, 4, 3, 2, 5, 1]",0.9166666666666666
"[0, 4, 3, 5, 1, 2]",0.6666666666666666
"[0, 4, 3, 5, 2, 1]",0.9166666666666666
"[0, 4, 5, 1, 2, 3]",0.9166666666666666
"[0, 4, 5, 1, 3, 2]",0.8333333333333334
"[0, 4, 5, 2, 1, 3]",0.8333333333333334
"[0, 4, 5, 2, 3, 1]",0.8333333333333334
"[0, 4, 5, 3, 1, 2]",0.9166666666666666
"[0, 4, 5, 3, 2, 1]",0.75
"[0, 5, 1, 2, 3, 4]",0.6666666666666666
"[0, 5, 1, 2, 4, 3]",0.9166666666666666
"[0, 5, 1, 3, 2, 4]",0.8333333333333334
"[0, 5, 1, 3, 4, 2]",0.8333333333333334
"[0, 5, 1, 4, 2, 3]",0.6666666666666666
"[0, 5, 1, 4, 3, 2]",0.75
"[0, 5, 2, 1, 3, 4]",0.9166666666666666
"[0, 5, 2, 1, 4, 3]",0.9166666666666666
"[0, 5, 2, 3, 1, 4]",0.75
"[0, 5, 2, 3, 4, 1]",0.75
"[0, 5, 2, 4, 1, 3]",0.75
"[0, 5, 2, 4, 3, 1]",0.75
"[0, 5, 3, 1, 2, 4]",0.9166666666666666
"[0, 5, 3, 1, 4, 2]",0.75
"[0, 5, 3, 2, 1, 4]",0.9166666666666666
"[0, 5, 3, 2, 4, 1]",0.6666666666666666
"[0, 5, 3, 4, 1, 2]",0.75
"[0, 5, 3, 4, 2, 1]",0.8333333333333334
"[0, 5, 4, 1, 2, 3]",0.75
"[0, 5, 4, 1, 3, 2]",0.8333333333333334
"[0, 5, 4, 2, 1, 3]",0.9166666666666666
"[0, 5, 4, 2, 3, 1]",0.5833333333333334
"[0, 5, 4, 3, 1, 2]",0.9166666666666666
"[0, 5, 4, 3, 2, 1]",0.6666666666666666
"[1, 0, 2, 3, 4, 5]",0.5833333333333334
"[1, 0, 2, 3, 5, 4]",0.6666666666666666
"[1, 0, 2, 4, 3, 5]",0.8333333333333334
"[1, 0, 2, 4, 5, 3]",0.75
"[1, 0, 2, 5, 3, 4]",0.75
"[1, 0, 2, 5, 4, 3]",0.8333333333333334
"[1, 0, 3, 2, 4, 5]",0.75
"[1, 0, 3, 2, 5, 4]",0.6666666666666666
"[1, 0, 3, 4, 2, 5]",0.5833333333333334
"[1, 0, 3, 4, 5, 2]",0.8333333333333334
"[1, 0, 3, 5, 2, 4]",0.75
"[1, 0, 3, 5, 4, 2]",0.75
"[1, 0, 4, 2, 3, 5]",0.6666666666666666
"[1, 0, 4, 2, 5, 3]",0.9166666666666666
"[1, 0, 4, 3, 2, 5]",0.8333333333333334
"[1, 0, 4, 3, 5, 2]",0.6666666666666666
"[1, 0, 4, 5, 2, 3]",0.9166666666666666
"[1, 0, 4, 5, 3, 2]",0.9166666666666666
"[1, 0, 5, 2, 3, 4]",0.8333333333333334
"[1, 0, 5, 2, 4, 3]",0.75
"[1, 0, 5, 3, 2, 4]",0.9166666666666666
"[1, 0, 5, 3, 4, 2]",0.6666666666666666
"[1, 0, 5, 4, 2, 3]",0.9166666666666666
"[1, 0, 5, 4, 3, 2]",0.8333333333333334
"[1, 2, 0, 3, 4, 5]",0.8333333333333334
"[1, 2, 0, 3, 5, 4]",0.75
"[1, 2, 0, 4, 3, 5]",0.8333333333333334
"[1, 2, 0, 4, 5, 3]",0.9166666666666666
"[1, 2, 0, 5, 3, 4]",0.6666666666666666
"[1, 2, 0, 5, 4, 3]",0.6666666666666666
"[1, 2, 3, 0, 4, 5]",0.75
"[1, 2, 3, 0, 5, 4]",0.75
"[1, 2, 3, 4, 0, 5]",0.9166666666666666
