method,seed,evals_to_first_optimum,found
prism,0,-1,False
random,0,48,True
prism,1,93,True
random,1,72,True
prism,2,57,True
random,2,174,True
prism,3,-1,False
random,3,1446,True
prism,4,-1,False
random,4,479,True
prism,5,-1,False
random,5,120,True
prism,6,-1,False
random,6,244,True
prism,7,-1,False
random,7,51,True
prism,8,-1,False
random,8,281,True
prism,9,-1,False
random,9,405,True
prism,10,38,True
random,10,350,True
prism,11,-1,False
random,11,528,True
prism,12,-1,False
random,12,62,True
prism,13,28,True
random,13,131,True
prism,14,-1,False
random,14,381,True
