perm,fitness
"[0, 1, 2, 3, 4, 5]",0.84375
"[0, 1, 2, 3, 5, 4]",0.9375
"[0, 1, 2, 4, 3, 5]",0.8125
"[0, 1, 2, 4, 5, 3]",0.78125
"[0, 1, 2, 5, 3, 4]",0.625
"[0, 1, 2, 5, 4, 3]",0.71875
"[0, 1, 3, 2, 4, 5]",0.9375
"[0, 1, 3, 2, 5, 4]",0.96875
"[0, 1, 3, 4, 2, 5]",0.90625
"[0, 1, 3, 4, 5, 2]",0.90625
"[0, 1, 3, 5, 2, 4]",0.9375
"[0, 1, 3, 5, 4, 2]",0.90625
"[0, 1, 4, 2, 3, 5]",0.96875
"[0, 1, 4, 2, 5, 3]",0.96875
"[0, 1, 4, 3, 2, 5]",0.9375
"[0, 1, 4, 3, 5, 2]",0.875
"[0, 1, 4, 5, 2, 3]",0.8125
"[0, 1, 4, 5, 3, 2]",0.15625
"[0, 1, 5, 2, 3, 4]",0.53125
"[0, 1, 5, 2, 4, 3]",0.53125
"[0, 1, 5, 3, 2, 4]",0.84375
"[0, 1, 5, 3, 4, 2]",0.5
"[0, 1, 5, 4, 2, 3]",0.65625
"[0, 1, 5, 4, 3, 2]",0.53125
"[0, 2, 1, 3, 4, 5]",0.875
"[0, 2, 1, 3, 5, 4]",0.96875
"[0, 2, 1, 4, 3, 5]",0.84375
"[0, 2, 1, 4, 5, 3]",0.8125
"[0, 2, 1, 5, 3, 4]",0.875
"[0, 2, 1, 5, 4, 3]",0.84375
"[0, 2, 3, 1, 4, 5]",0.84375
"[0, 2, 3, 1, 5, 4]",0.90625
"[0, 2, 3, 4, 1, 5]",0.875
"[0, 2, 3, 4, 5, 1]",0.90625
"[0, 2, 3, 5, 1, 4]",0.90625
"[0, 2, 3, 5, 4, 1]",0.90625
"[0, 2, 4, 1, 3, 5]",0.84375
"[0, 2, 4, 1, 5, 3]",0.8125
"[0, 2, 4, 3, 1, 5]",0.84375
"[0, 2, 4, 3, 5, 1]",0.875
"[0, 2, 4, 5, 1, 3]",0.8125
"[0, 2, 4, 5, 3, 1]",0.0625
"[0, 2, 5, 1, 3, 4]",0.4375
"[0, 2, 5, 1, 4, 3]",0.5
"[0, 2, 5, 3, 1, 4]",0.59375
"[0, 2, 5, 3, 4, 1]",0.1875
"[0, 2, 5, 4, 1, 3]",0.53125
"[0, 2, 5, 4, 3, 1]",0.40625
"[0, 3, 1, 2, 4, 5]",0.84375
"[0, 3, 1, 2, 5, 4]",0.96875
"[0, 3, 1, 4, 2, 5]",0.84375
"[0, 3, 1, 4, 5, 2]",0.84375
"[0, 3, 1, 5, 2, 4]",0.9375
"[0, 3, 1, 5, 4, 2]",0.9375
"[0, 3, 2, 1, 4, 5]",0.84375
"[0, 3, 2, 1, 5, 4]",0.9375
"[0, 3, 2, 4, 1, 5]",0.84375
"[0, 3, 2, 4, 5, 1]",0.6875
"[0, 3, 2, 5, 1, 4]",0.9375
"[0, 3, 2, 5, 4, 1]",0.9375
"[0, 3, 4, 1, 2, 5]",0.84375
"[0, 3, 4, 1, 5, 2]",0.90625
"[0, 3, 4, 2, 1, 5]",0.84375
"[0, 3, 4, 2, 5, 1]",0.84375
"[0, 3, 4, 5, 1, 2]",0.84375
"[0, 3, 4, 5, 2, 1]",0.9375
"[0, 3, 5, 1, 2, 4]",0.9375
"[0, 3, 5, 1, 4, 2]",0.90625
"[0, 3, 5, 2, 1, 4]",0.9375
