landscape,method,seed,evals_to_optimum,best@25,best@50,best@100,best@200
xor_n6,prism,0,17,1.0,1.0,1.0,1.0
xor_n6,prism,1,13,1.0,1.0,1.0,1.0
xor_n6,prism,2,5,1.0,1.0,1.0,1.0
xor_n6,prism,3,34,0.9167,1.0,1.0,1.0
xor_n6,prism,4,48,0.9167,1.0,1.0,1.0
xor_n6,prism,5,72,0.9167,0.9167,1.0,1.0
xor_n6,prism,6,16,1.0,1.0,1.0,1.0
xor_n6,prism,7,2,1.0,1.0,1.0,1.0
xor_n6,prism,8,1,1.0,1.0,1.0,1.0
xor_n6,prism,9,22,1.0,1.0,1.0,1.0
xor_n6,prism,10,6,1.0,1.0,1.0,1.0
xor_n6,prism,11,1,1.0,1.0,1.0,1.0
xor_n6,prism,12,4,1.0,1.0,1.0,1.0
xor_n6,prism,13,33,0.9167,1.0,1.0,1.0
xor_n6,prism,14,3,1.0,1.0,1.0,1.0
xor_n6,aging,0,17,1.0,1.0,1.0,1.0
xor_n6,aging,1,13,1.0,1.0,1.0,1.0
xor_n6,aging,2,5,1.0,1.0,1.0,1.0
xor_n6,aging,3,74,0.9167,0.9167,1.0,1.0
xor_n6,aging,4,54,0.9167,0.9167,1.0,1.0
xor_n6,aging,5,66,0.9167,0.9167,1.0,1.0
xor_n6,aging,6,16,1.0,1.0,1.0,1.0
xor_n6,aging,7,2,1.0,1.0,1.0,1.0
xor_n6,aging,8,1,1.0,1.0,1.0,1.0
xor_n6,aging,9,95,0.9167,0.9167,1.0,1.0
xor_n6,aging,10,6,1.0,1.0,1.0,1.0
xor_n6,aging,11,1,1.0,1.0,1.0,1.0
xor_n6,aging,12,4,1.0,1.0,1.0,1.0
xor_n6,aging,13,74,0.9167,0.9167,1.0,1.0
xor_n6,aging,14,3,1.0,1.0,1.0,1.0
xor_n6,surrogate,0,33,0.9167,1.0,1.0,1.0
xor_n6,surrogate,1,19,1.0,1.0,1.0,1.0
xor_n6,surrogate,2,5,1.0,1.0,1.0,1.0
xor_n6,surrogate,3,29,0.9167,1.0,1.0,1.0
xor_n6,surrogate,4,13,1.0,1.0,1.0,1.0
xor_n6,surrogate,5,16,1.0,1.0,1.0,1.0
xor_n6,surrogate,6,48,0.9167,1.0,1.0,1.0
xor_n6,surrogate,7,2,1.0,1.0,1.0,1.0
xor_n6,surrogate,8,1,1.0,1.0,1.0,1.0
xor_n6,surrogate,9,30,0.9167,1.0,1.0,1.0
xor_n6,surrogate,10,6,1.0,1.0,1.0,1.0
xor_n6,surrogate,11,1,1.0,1.0,1.0,1.0
xor_n6,surrogate,12,4,1.0,1.0,1.0,1.0
xor_n6,surrogate,13,96,0.9167,0.9167,1.0,1.0
xor_n6,surrogate,14,3,1.0,1.0,1.0,1.0
xor_n6,random,0,28,0.9167,1.0,1.0,1.0
xor_n6,random,1,25,1.0,1.0,1.0,1.0
xor_n6,random,2,14,1.0,1.0,1.0,1.0
xor_n6,random,3,5,1.0,1.0,1.0,1.0
xor_n6,random,4,33,0.9167,1.0,1.0,1.0
xor_n6,random,5,6,1.0,1.0,1.0,1.0
xor_n6,random,6,3,1.0,1.0,1.0,1.0
xor_n6,random,7,112,0.9167,0.9167,0.9167,1.0
xor_n6,random,8,33,0.9167,1.0,1.0,1.0
xor_n6,random,9,108,0.9167,0.9167,0.9167,1.0
xor_n6,random,10,16,1.0,1.0,1.0,1.0
xor_n6,random,11,4,1.0,1.0,1.0,1.0
xor_n6,random,12,20,1.0,1.0,1.0,1.0
xor_n6,random,13,32,0.9167,1.0,1.0,1.0
xor_n6,random,14,11,1.0,1.0,1.0,1.0
parity_n7,prism,0,-1,0.8333,0.9167,0.9167,0.9583
parity_n7,prism,1,93,0.9583,0.9583,1.0,1.0
parity_n7,prism,2,57,0.9583,0.9583,1.0,1.0
parity_n7,prism,3,-1,0.875,0.9167,0.9167,0.9583
parity_n7,prism,4,143,0.875,0.9167,0.9167,1.0
parity_n7,prism,5,-1,0.9583,0.9583,0.9583,0.9583
parity_n7,prism,6,-1,0.875,0.875,0.9583,0.9583
parity_n7,prism,7,-1,0.875,0.875,0.9583,0.9583
parity_n7,prism,8,224,0.9583,0.9583,0.9583,0.9583
parity_n7,prism,9,-1,0.875,0.9167,0.9167,0.9583
parity_n7,prism,10,38,0.9167,1.0,1.0,1.0
parity_n7,prism,11,267,0.9583,0.9583,0.9583,0.9583
parity_n7,prism,12,172,0.9583,0.9583,0.9583,1.0
parity_n7,prism,13,28,0.875,1.0,1.0,1.0
parity_n7,prism,14,217,0.875,0.9167,0.9167,0.9583
parity_n7,aging,0,119,0.8333,0.8333,0.9167,1.0
parity_n7,aging,1,46,0.875,1.0,1.0,1.0
parity_n7,aging,2,-1,0.9583,0.9583,0.9583,0.9583
parity_n7,aging,3,434,0.875,0.9583,0.9583,0.9583
parity_n7,aging,4,342,0.875,0.9167,0.9583,0.9583
parity_n7,aging,5,53,0.9583,0.9583,1.0,1.0
parity_n7,aging,6,266,0.875,0.9583,0.9583,0.9583
parity_n7,aging,7,-1,0.9167,0.9583,0.9583,0.9583
parity_n7,aging,8,79,0.9583,0.9583,1.0,1.0
parity_n7,aging,9,77,0.875,0.9583,1.0,1.0
parity_n7,aging,10,156,0.9167,0.9583,0.9583,1.0
parity_n7,aging,11,73,0.9583,0.9583,1.0,1.0
parity_n7,aging,12,363,0.9167,0.9583,0.9583,0.9583
parity_n7,aging,13,475,0.875,0.9583,0.9583,0.9583
parity_n7,aging,14,175,0.875,0.875,0.875,1.0
parity_n7,surrogate,0,13,1.0,1.0,1.0,1.0
parity_n7,surrogate,1,63,0.8333,0.9583,1.0,1.0
parity_n7,surrogate,2,430,0.9583,0.9583,0.9583,0.9583
parity_n7,surrogate,3,118,0.9167,0.9167,0.9167,1.0
parity_n7,surrogate,4,-1,0.875,0.875,0.9583,0.9583
parity_n7,surrogate,5,-1,0.8333,0.9167,0.9167,0.9583
parity_n7,surrogate,6,-1,0.9583,0.9583,0.9583,0.9583
parity_n7,surrogate,7,-1,0.9167,0.9167,0.9167,0.9583
parity_n7,surrogate,8,-1,0.875,0.9583,0.9583,0.9583
parity_n7,surrogate,9,-1,0.875,0.9583,0.9583,0.9583
parity_n7,surrogate,10,181,0.9167,0.9167,0.9583,1.0
