landscape,method,seed,evals_to_optimum,best@200
xor_n6,elitist,0,17,1.0
xor_n6,elitist,1,13,1.0
xor_n6,elitist,2,5,1.0
xor_n6,elitist,3,34,1.0
xor_n6,elitist,4,48,1.0
xor_n6,elitist,5,72,1.0
xor_n6,elitist,6,16,1.0
xor_n6,elitist,7,2,1.0
xor_n6,elitist,8,1,1.0
xor_n6,elitist,9,22,1.0
xor_n6,elitist,10,6,1.0
xor_n6,elitist,11,1,1.0
xor_n6,elitist,12,4,1.0
xor_n6,elitist,13,33,1.0
xor_n6,elitist,14,3,1.0
xor_n6,aging,0,17,1.0
xor_n6,aging,1,13,1.0
xor_n6,aging,2,5,1.0
xor_n6,aging,3,74,1.0
xor_n6,aging,4,54,1.0
xor_n6,aging,5,66,1.0
xor_n6,aging,6,16,1.0
xor_n6,aging,7,2,1.0
xor_n6,aging,8,1,1.0
xor_n6,aging,9,95,1.0
xor_n6,aging,10,6,1.0
xor_n6,aging,11,1,1.0
xor_n6,aging,12,4,1.0
xor_n6,aging,13,74,1.0
xor_n6,aging,14,3,1.0
xor_n6,hybrid,0,17,1.0
xor_n6,hybrid,1,13,1.0
xor_n6,hybrid,2,5,1.0
xor_n6,hybrid,3,31,1.0
xor_n6,hybrid,4,26,1.0
xor_n6,hybrid,5,49,1.0
xor_n6,hybrid,6,16,1.0
xor_n6,hybrid,7,2,1.0
xor_n6,hybrid,8,1,1.0
xor_n6,hybrid,9,33,1.0
xor_n6,hybrid,10,6,1.0
xor_n6,hybrid,11,1,1.0
xor_n6,hybrid,12,4,1.0
xor_n6,hybrid,13,54,1.0
xor_n6,hybrid,14,3,1.0
xor_n6,surr-pos,0,33,1.0
xor_n6,surr-pos,1,19,1.0
xor_n6,surr-pos,2,5,1.0
xor_n6,surr-pos,3,29,1.0
xor_n6,surr-pos,4,13,1.0
xor_n6,surr-pos,5,16,1.0
xor_n6,surr-pos,6,48,1.0
xor_n6,surr-pos,7,2,1.0
xor_n6,surr-pos,8,1,1.0
xor_n6,surr-pos,9,30,1.0
xor_n6,surr-pos,10,6,1.0
xor_n6,surr-pos,11,1,1.0
xor_n6,surr-pos,12,4,1.0
xor_n6,surr-pos,13,96,1.0
xor_n6,surr-pos,14,3,1.0
xor_n6,surr-prec,0,28,1.0
xor_n6,surr-prec,1,14,1.0
xor_n6,surr-prec,2,5,1.0
xor_n6,surr-prec,3,20,1.0
xor_n6,surr-prec,4,12,1.0
xor_n6,surr-prec,5,32,1.0
xor_n6,surr-prec,6,17,1.0
xor_n6,surr-prec,7,2,1.0
xor_n6,surr-prec,8,1,1.0
xor_n6,surr-prec,9,14,1.0
xor_n6,surr-prec,10,6,1.0
xor_n6,surr-prec,11,1,1.0
xor_n6,surr-prec,12,4,1.0
xor_n6,surr-prec,13,44,1.0
xor_n6,surr-prec,14,3,1.0
xor_n6,random,0,28,1.0
xor_n6,random,1,25,1.0
xor_n6,random,2,14,1.0
xor_n6,random,3,5,1.0
xor_n6,random,4,33,1.0
xor_n6,random,5,6,1.0
xor_n6,random,6,3,1.0
xor_n6,random,7,112,1.0
xor_n6,random,8,33,1.0
xor_n6,random,9,108,1.0
xor_n6,random,10,16,1.0
xor_n6,random,11,4,1.0
xor_n6,random,12,20,1.0
xor_n6,random,13,32,1.0
xor_n6,random,14,11,1.0
parity_n7,elitist,0,-1,0.9583
parity_n7,elitist,1,93,1.0
parity_n7,elitist,2,57,1.0
parity_n7,elitist,3,-1,0.9583
parity_n7,elitist,4,143,1.0
parity_n7,elitist,5,-1,0.9583
parity_n7,elitist,6,-1,0.9583
parity_n7,elitist,7,-1,0.9583
parity_n7,elitist,8,224,0.9583
parity_n7,elitist,9,-1,0.9583
parity_n7,elitist,10,38,1.0
parity_n7,elitist,11,267,0.9583
parity_n7,elitist,12,172,1.0
parity_n7,elitist,13,28,1.0
parity_n7,elitist,14,217,0.9583
parity_n7,elitist,15,-1,0.9583
parity_n7,elitist,16,135,1.0
parity_n7,elitist,17,86,1.0
parity_n7,elitist,18,-1,0.9583
parity_n7,elitist,19,-1,0.9583
parity_n7,elitist,20,309,0.9583
parity_n7,elitist,21,59,1.0
parity_n7,elitist,22,-1,0.9583
parity_n7,elitist,23,21,1.0
parity_n7,elitist,24,-1,0.9583
parity_n7,elitist,25,16,1.0
parity_n7,elitist,26,-1,0.9583
parity_n7,elitist,27,-1,0.9583
parity_n7,elitist,28,28,1.0
parity_n7,elitist,29,-1,0.9583
parity_n7,elitist,30,-1,0.9583
parity_n7,elitist,31,-1,0.9583
parity_n7,elitist,32,-1,0.9583
parity_n7,elitist,33,-1,0.9583
parity_n7,elitist,34,-1,0.9583
parity_n7,elitist,35,139,1.0
parity_n7,elitist,36,142,1.0
parity_n7,elitist,37,40,1.0
parity_n7,elitist,38,-1,0.9583
parity_n7,elitist,39,-1,0.9583
parity_n7,aging,0,119,1.0
parity_n7,aging,1,46,1.0
parity_n7,aging,2,-1,0.9583
parity_n7,aging,3,434,0.9583
parity_n7,aging,4,342,0.9583
parity_n7,aging,5,53,1.0
parity_n7,aging,6,266,0.9583
parity_n7,aging,7,-1,0.9583
parity_n7,aging,8,79,1.0
parity_n7,aging,9,77,1.0
