landscape,method,hits,n_seeds,hit_rate,wilson_lo,wilson_hi,mean_evals_hit,evals_ci,best200,best200_ci
xor_n6,elitist,40,40,1.0,0.912,1,19.6,"[14,26]",1.0,"[1.0000,1.0000]"
xor_n6,aging,40,40,1.0,0.912,1,27.1,"[18,36]",1.0,"[1.0000,1.0000]"
xor_n6,hybrid,40,40,1.0,0.912,1,18.6,"[14,24]",1.0,"[1.0000,1.0000]"
xor_n6,surr-pos,40,40,1.0,0.912,1,18.5,"[13,25]",1.0,"[1.0000,1.0000]"
xor_n6,surr-prec,40,40,1.0,0.912,1,16.8,"[12,22]",1.0,"[1.0000,1.0000]"
xor_n6,random,40,40,1.0,0.912,1,20.3,"[14,28]",1.0,"[1.0000,1.0000]"
parity_n7,elitist,19,40,0.475,0.329,0.625,116.5,"[79,158]",0.974,"[0.9677,0.9802]"
parity_n7,aging,31,40,0.775,0.625,0.877,222.5,"[170,277]",0.974,"[0.9677,0.9802]"
parity_n7,hybrid,29,40,0.725,0.572,0.839,224.1,"[178,273]",0.9708,"[0.9635,0.9781]"
parity_n7,surr-pos,33,40,0.825,0.68,0.913,191.4,"[151,235]",0.9792,"[0.9729,0.9854]"
parity_n7,surr-prec,33,40,0.825,0.68,0.913,197.0,"[149,248]",0.9781,"[0.9719,0.9844]"
parity_n7,random,30,40,0.75,0.598,0.858,210.1,"[172,251]",0.975,"[0.9688,0.9812]"
llm_chain_n6,elitist,40,40,1.0,0.912,1,9.9,"[7,13]",0.9688,"[0.9688,0.9688]"
llm_chain_n6,aging,40,40,1.0,0.912,1,10.2,"[7,13]",0.9688,"[0.9688,0.9688]"
llm_chain_n6,hybrid,40,40,1.0,0.912,1,10.9,"[8,15]",0.9688,"[0.9688,0.9688]"
llm_chain_n6,surr-pos,40,40,1.0,0.912,1,9.7,"[7,13]",0.9688,"[0.9688,0.9688]"
llm_chain_n6,surr-prec,40,40,1.0,0.912,1,9.7,"[7,13]",0.9688,"[0.9688,0.9688]"
llm_chain_n6,random,40,40,1.0,0.912,1,10.8,"[8,14]",0.9688,"[0.9688,0.9688]"
kendall_n7,elitist,40,40,1.0,0.912,1,54.2,"[50,59]",1.0,"[1.0000,1.0000]"
kendall_n7,aging,40,40,1.0,0.912,1,72.5,"[64,81]",1.0,"[1.0000,1.0000]"
kendall_n7,hybrid,40,40,1.0,0.912,1,91.5,"[84,100]",1.0,"[1.0000,1.0000]"
kendall_n7,surr-pos,40,40,1.0,0.912,1,185.8,"[137,238]",0.9762,"[0.9655,0.9857]"
kendall_n7,surr-prec,40,40,1.0,0.912,1,14.8,"[14,15]",1.0,"[1.0000,1.0000]"
kendall_n7,random,2,40,0.05,0.014,0.165,197.5,"[139,256]",0.8929,"[0.8786,0.9072]"
