perm,qidx,correct
"[1, 0, 4, 2, 5, 3]",0,0
"[1, 0, 4, 2, 5, 3]",1,0
"[1, 0, 4, 2, 5, 3]",2,0
"[1, 0, 4, 2, 5, 3]",3,0
"[1, 0, 4, 2, 5, 3]",4,0
"[1, 0, 4, 2, 5, 3]",5,1
"[1, 0, 4, 2, 5, 3]",6,1
"[1, 0, 4, 2, 5, 3]",7,0
"[1, 0, 4, 2, 5, 3]",8,1
"[1, 0, 4, 2, 5, 3]",9,0
"[1, 0, 4, 2, 5, 3]",10,1
"[1, 0, 4, 2, 5, 3]",11,0
"[1, 0, 4, 2, 5, 3]",12,0
"[1, 0, 4, 2, 5, 3]",13,1
"[1, 0, 4, 2, 5, 3]",14,0
"[1, 0, 4, 2, 5, 3]",15,0
"[1, 0, 4, 2, 5, 3]",16,1
"[1, 0, 4, 2, 5, 3]",17,1
"[1, 0, 4, 2, 5, 3]",18,0
"[1, 0, 4, 2, 5, 3]",19,1
"[1, 0, 4, 2, 5, 3]",20,0
"[1, 0, 4, 2, 5, 3]",21,0
"[1, 0, 4, 2, 5, 3]",22,1
"[1, 0, 4, 2, 5, 3]",23,0
"[1, 0, 4, 2, 5, 3]",24,1
"[1, 0, 4, 2, 5, 3]",25,0
"[1, 0, 4, 2, 5, 3]",26,1
"[1, 0, 4, 2, 5, 3]",27,1
"[1, 0, 4, 2, 5, 3]",28,1
"[1, 0, 4, 2, 5, 3]",29,0
"[1, 0, 4, 2, 5, 3]",30,1
"[1, 0, 4, 2, 5, 3]",31,0
"[5, 3, 4, 1, 0, 2]",0,1
"[5, 3, 4, 1, 0, 2]",1,1
"[5, 3, 4, 1, 0, 2]",2,0
"[5, 3, 4, 1, 0, 2]",3,1
"[5, 3, 4, 1, 0, 2]",4,0
"[5, 3, 4, 1, 0, 2]",5,1
"[5, 3, 4, 1, 0, 2]",6,0
"[5, 3, 4, 1, 0, 2]",7,0
"[5, 3, 4, 1, 0, 2]",8,0
"[5, 3, 4, 1, 0, 2]",9,1
"[5, 3, 4, 1, 0, 2]",10,0
"[5, 3, 4, 1, 0, 2]",11,0
"[5, 3, 4, 1, 0, 2]",12,0
"[5, 3, 4, 1, 0, 2]",13,1
"[5, 3, 4, 1, 0, 2]",14,0
"[5, 3, 4, 1, 0, 2]",15,1
"[5, 3, 4, 1, 0, 2]",16,1
"[5, 3, 4, 1, 0, 2]",17,0
"[5, 3, 4, 1, 0, 2]",18,0
"[5, 3, 4, 1, 0, 2]",19,0
"[5, 3, 4, 1, 0, 2]",20,0
"[5, 3, 4, 1, 0, 2]",21,1
"[5, 3, 4, 1, 0, 2]",22,0
"[5, 3, 4, 1, 0, 2]",23,1
"[5, 3, 4, 1, 0, 2]",24,1
"[5, 3, 4, 1, 0, 2]",25,1
"[5, 3, 4, 1, 0, 2]",26,0
"[5, 3, 4, 1, 0, 2]",27,0
"[5, 3, 4, 1, 0, 2]",28,0
"[5, 3, 4, 1, 0, 2]",29,0
"[5, 3, 4, 1, 0, 2]",30,0
"[5, 3, 4, 1, 0, 2]",31,0
"[4, 0, 2, 3, 5, 1]",0,0
"[4, 0, 2, 3, 5, 1]",1,1
"[4, 0, 2, 3, 5, 1]",2,1
"[4, 0, 2, 3, 5, 1]",3,1
"[4, 0, 2, 3, 5, 1]",4,1
"[4, 0, 2, 3, 5, 1]",5,1
"[4, 0, 2, 3, 5, 1]",6,0
"[4, 0, 2, 3, 5, 1]",7,0
"[4, 0, 2, 3, 5, 1]",8,1
"[4, 0, 2, 3, 5, 1]",9,1
"[4, 0, 2, 3, 5, 1]",10,1
"[4, 0, 2, 3, 5, 1]",11,1
"[4, 0, 2, 3, 5, 1]",12,0
"[4, 0, 2, 3, 5, 1]",13,1
"[4, 0, 2, 3, 5, 1]",14,0
"[4, 0, 2, 3, 5, 1]",15,1
"[4, 0, 2, 3, 5, 1]",16,1
"[4, 0, 2, 3, 5, 1]",17,0
"[4, 0, 2, 3, 5, 1]",18,1
"[4, 0, 2, 3, 5, 1]",19,1
"[4, 0, 2, 3, 5, 1]",20,0
"[4, 0, 2, 3, 5, 1]",21,1
"[4, 0, 2, 3, 5, 1]",22,1
"[4, 0, 2, 3, 5, 1]",23,1
"[4, 0, 2, 3, 5, 1]",24,0
"[4, 0, 2, 3, 5, 1]",25,1
"[4, 0, 2, 3, 5, 1]",26,1
"[4, 0, 2, 3, 5, 1]",27,1
"[4, 0, 2, 3, 5, 1]",28,0
"[4, 0, 2, 3, 5, 1]",29,1
"[4, 0, 2, 3, 5, 1]",30,1
"[4, 0, 2, 3, 5, 1]",31,0
"[3, 2, 0, 4, 5, 1]",0,0
"[3, 2, 0, 4, 5, 1]",1,0
"[3, 2, 0, 4, 5, 1]",2,0
"[3, 2, 0, 4, 5, 1]",3,0
"[3, 2, 0, 4, 5, 1]",4,0
"[3, 2, 0, 4, 5, 1]",5,0
"[3, 2, 0, 4, 5, 1]",6,0
"[3, 2, 0, 4, 5, 1]",7,0
"[3, 2, 0, 4, 5, 1]",8,0
"[3, 2, 0, 4, 5, 1]",9,0
"[3, 2, 0, 4, 5, 1]",10,0
"[3, 2, 0, 4, 5, 1]",11,0
"[3, 2, 0, 4, 5, 1]",12,0
"[3, 2, 0, 4, 5, 1]",13,0
"[3, 2, 0, 4, 5, 1]",14,0
"[3, 2, 0, 4, 5, 1]",15,0
"[3, 2, 0, 4, 5, 1]",16,0
"[3, 2, 0, 4, 5, 1]",17,0
"[3, 2, 0, 4, 5, 1]",18,0
"[3, 2, 0, 4, 5, 1]",19,0
"[3, 2, 0, 4, 5, 1]",20,0
"[3, 2, 0, 4, 5, 1]",21,0
"[3, 2, 0, 4, 5, 1]",22,0
"[3, 2, 0, 4, 5, 1]",23,0
"[3, 2, 0, 4, 5, 1]",24,1
"[3, 2, 0, 4, 5, 1]",25,0
"[3, 2, 0, 4, 5, 1]",26,0
"[3, 2, 0, 4, 5, 1]",27,1
"[3, 2, 0, 4, 5, 1]",28,0
"[3, 2, 0, 4, 5, 1]",29,0
"[3, 2, 0, 4, 5, 1]",30,0
"[3, 2, 0, 4, 5, 1]",31,0
"[3, 2, 0, 1, 5, 4]",0,0
"[3, 2, 0, 1, 5, 4]",1,0
"[3, 2, 0, 1, 5, 4]",2,0
"[3, 2, 0, 1, 5, 4]",3,0
"[3, 2, 0, 1, 5, 4]",4,1
"[3, 2, 0, 1, 5, 4]",5,0
