dataset,distribution,n_placements,mean,sd,range,best,n_optima,swap_edges,rho_swap,fdc
cifar10-valid,0;0;0;0;6,1,37.34800000610352,0.0,0.0,37.34800000610352,1,0,nan,nan
cifar10-valid,0;0;0;1;5,6,73.57511110168457,4.34215525786054,13.116000004882821,81.27733332682293,1,30,-0.19999999999999993,-0.793278519557359
cifar10-valid,0;0;0;2;4,15,82.9001333326009,2.517946104818567,9.12600000651041,85.91999998942056,1,120,0.13219467276136707,-0.23755400662458964
cifar10-valid,0;0;0;3;3,20,86.78423333746336,1.4634738499537507,5.852000026855464,88.96400000244141,1,180,0.20248019784860435,-0.4633835615699449
cifar10-valid,0;0;0;4;2,15,88.90351111257596,0.6027353138347905,2.0899999841308556,89.7900000012207,1,120,0.13333560078859227,-0.6521122087807547
cifar10-valid,0;0;0;5;1,6,89.85533333028157,0.30742731408608037,0.8999999890136792,90.40999999023438,1,30,-0.19999999999999996,-0.8068719334157503
cifar10-valid,0;0;0;6;0,1,90.19866665364583,0.0,0.0,90.19866665364583,1,0,nan,nan
cifar10-valid,0;0;1;0;5,6,71.72322221876357,3.8625976264921715,11.600000029296865,78.25000000366211,1,30,-0.2,-0.7556737828952956
cifar10-valid,0;0;1;1;4,30,82.16646666303168,2.710361594756762,9.698000023193345,86.29600001098632,1,270,0.2440076130056567,-0.31830154098012986
cifar10-valid,0;0;1;2;3,60,86.49239999910479,1.6521375096133986,8.220000011393239,88.83199999186199,1,660,0.30285468955930456,-0.34782551088939023
cifar10-valid,0;0;1;3;2,60,88.72255555144585,0.6962630110388812,2.891999997558571,89.93199999633788,1,660,0.3485933675088379,-0.6239101580080916
cifar10-valid,0;0;1;4;1,30,89.79015554866538,0.2737231185378824,1.0973333288574025,90.3493333251953,1,270,0.13555826708584667,-0.5621299493175019
cifar10-valid,0;0;1;5;0,6,90.1489999871148,0.24564224145739189,0.7346666658528562,90.64666665120443,1,30,-0.19999999999999998,-0.9060465206941833
cifar10-valid,0;0;2;0;4,15,80.44515554630534,3.0328929849924533,9.384000019531243,84.04000000976562,1,120,0.11788719214707113,-0.22326243544535862
cifar10-valid,0;0;2;1;3,60,85.95517777669947,1.8260824406915313,8.76933333577476,88.52799999837241,1,660,0.30596583406689287,-0.27498267536840915
cifar10-valid,0;0;2;2;2,90,88.4780518435782,0.7548186083563984,3.451999990234384,89.97199998046875,1,1080,0.37146604781927406,-0.45352290250504074
cifar10-valid,0;0;2;3;1,60,89.73194443764919,0.3304353187697185,1.467999993896484,90.41799999145508,1,660,0.29791838508641777,-0.24083493417682653
cifar10-valid,0;0;2;4;0,15,90.11382221384007,0.2544964475009243,0.8479999918619683,90.49599998535156,1,120,0.13679475689705986,-0.41197723251415824
cifar10-valid,0;0;3;0;3,20,84.47816667004396,2.114942908391641,8.97400001098633,86.79800000488281,1,180,0.1225720055013886,-0.046602158678236
cifar10-valid,0;0;3;1;2,60,88.1099888869629,0.7598939027306671,3.387999983723958,89.62799999104817,1,660,0.2788688513718497,-0.46195413305121696
cifar10-valid,0;0;3;2;1,60,89.51727777167424,0.363901944728426,1.4946666585286437,90.18399999267578,1,660,0.2955652731748302,-0.5551345098126143
cifar10-valid,0;0;3;3;0,20,90.05199998803711,0.2662812199815334,1.1239999914550651,90.71199998168944,1,180,0.20378931941371803,-0.6493983603639607
cifar10-valid,0;0;4;0;2,15,86.68155555761719,0.6422147133293683,2.4146666528320395,87.46666666748047,1,120,0.09010659946837375,-0.6782174036616959
cifar10-valid,0;0;4;1;1,30,89.1362888809543,0.32411276683286744,1.3733333243815053,89.83999998779296,1,270,0.19426587182436567,-0.5499575480764001
cifar10-valid,0;0;4;2;0,15,89.89582221487088,0.29491949388151073,0.9160000012207092,90.40399999389649,1,120,0.15373065060147584,-0.7545735637199801
cifar10-valid,0;0;5;0;1,6,87.4256666587321,0.131896001796301,0.41599999389649156,87.65,1,30,-0.19999999999999998,-0.7606365528341115
cifar10-valid,0;0;5;1;0,6,89.33899999355738,0.16236937603180493,0.46666666422525793,89.57066665934245,1,30,-0.20000000000000004,-0.6380789598090582
cifar10-valid,0;0;6;0;0,1,86.50933334391276,0.0,0.0,86.50933334391276,1,0,nan,nan
cifar10-valid,0;1;0;0;5,6,36.28266666195339,2.2830113635188782,5.8799999911499015,38.64999998962402,1,30,-0.19999999999999998,-0.4637312218992404
cifar10-valid,0;1;0;1;4,30,74.82591110460068,5.039217856617714,14.854000006103519,82.63199998901368,1,270,0.2842581782509814,-0.4790962436598115
cifar10-valid,0;1;0;2;3,60,84.27065555262588,2.4315086564438024,11.887333321126306,88.70133333577473,1,660,0.2990021659215857,-0.5444065987438429
cifar10-valid,0;1;0;3;2,60,87.94988888836671,1.303864420181029,5.202000009358727,90.87799999633789,1,660,0.25713782753060843,-0.5818611892866508
cifar10-valid,0;1;0;4;1,30,89.66695555326332,0.6744575337748825,2.837999992675776,91.38999999023437,1,270,0.3031011744669656,-0.7519024107179964
cifar10-valid,0;1;0;5;0,6,90.22588888522678,0.6165486246667584,1.861333324381505,91.5533333235677,1,30,-0.19999999999999998,-0.9628619322891693
cifar10-valid,0;1;1;0;4,30,73.47782221698677,4.408930949795231,14.547333329671247,81.55733332600913,1,270,0.2810286626978163,-0.5307838013854421
cifar10-valid,0;1;1;1;3,120,83.80163888755628,2.525934230725847,11.540000004069014,88.2933333186849,1,1440,0.3883473542072346,-0.3048132492035716
cifar10-valid,0;1;1;2;2,180,87.86411480940302,1.2844384378724634,6.25999997680664,91.02799998046875,1,2340,0.3848181838853227,-0.5217400562513302
cifar10-valid,0;1;1;3;1,120,89.5911833278639,0.7144343425373817,3.5426666434732965,91.48799998657226,1,1440,0.44784360528032297,-0.5949245668799258
cifar10-valid,0;1;1;4;0,30,90.18266665810819,0.6411377804754113,2.266666655273454,91.60666665039064,1,270,0.30861755927532736,-0.6012110849651728
cifar10-valid,0;1;2;0;3,60,82.32549999498835,2.7835750929707976,12.06600000488281,87.24800001098633,1,660,0.33422058833650553,-0.6567129500120767
cifar10-valid,0;1;2;1;2,180,87.47559999641928,1.2006728536610376,6.097333325602207,90.42933333170572,1,2340,0.3801561433169439,-0.4857128633833872
cifar10-valid,0;1;2;2;1,180,89.42484443362765,0.702527478666829,3.317999997965515,91.32399998209637,1,2340,0.46141595454188544,-0.5379845846386078
cifar10-valid,0;1;2;3;0,60,90.1589999912584,0.6170139955029069,2.4380000036621112,91.51599999023438,1,660,0.3827525416996366,-0.4587628842364298
cifar10-valid,0;1;3;0;2,60,86.0787888898858,1.1275309067361388,4.901999988199876,88.3339999963379,1,660,0.30666719950662263,-0.6082992215335226
cifar10-valid,0;1;3;1;1,120,88.9754388853319,0.634837691144672,3.043333333740236,90.53399998657227,1,1440,0.39860468688950307,-0.5003783737011999
cifar10-valid,0;1;3;2;0,60,89.98632221490479,0.5403079559320362,2.2839999890136937,91.33599998535158,1,660,0.36353474835709204,-0.5634000437258462
cifar10-valid,0;1;4;0;1,30,87.33859999876573,0.5287786701385789,1.9039999906412675,88.53599999389648,1,270,0.2899267903667769,-0.6863827456035608
cifar10-valid,0;1;4;1;0,30,89.54013332449,0.4768016073339205,1.8339999963378943,90.81599998779296,1,270,0.2823351967946837,-0.7636533294329783
cifar10-valid,0;1;5;0;0,6,86.85366667894152,0.6917710728754837,1.925999990641273,88.38800000406901,1,30,-0.19999999999999996,-0.9919101129416299
cifar10-valid,0;2;0;0;4,15,34.179199998107904,2.230027550198755,6.155999996032719,38.5119999987793,1,120,0.10128695803850844,-0.4554637052641004
cifar10-valid,0;2;0;1;3,60,75.90322222137452,5.337030037799419,16.448000029296878,84.55000000976563,1,660,0.4208743506919951,-0.26595913192672993
cifar10-valid,0;2;0;2;2,90,85.31793332984302,2.1171589791206973,8.717999958496094,89.76799997680664,2,1080,0.38733131089054623,-0.26622147034843274
cifar10-valid,0;2;0;3;1,60,89.04918888785808,1.3119175927253466,4.746666653238918,91.01066666422525,1,660,0.1572460520359039,-0.3131231740002173
cifar10-valid,0;2;0;4;0,15,90.258044441352,0.8105088057866318,2.267999987792976,91.28399999511718,1,120,0.06440389972470285,-0.3878322648470274
cifar10-valid,0;2;1;0;3,60,75.09308888420274,4.538013869404817,15.495333294677721,83.15399997192382,1,660,0.40198131514767566,-0.32062683879160353
cifar10-valid,0;2;1;1;2,180,85.13118147988327,2.03700041624103,8.92800000976564,89.34399999348959,1,2340,0.44135877417045205,-0.197102657473756
cifar10-valid,0;2;1;2;1,180,88.86026665750461,1.229691136713185,5.0473333374023355,90.93333333251952,1,2340,0.2923262218924645,-0.33541471263758904
cifar10-valid,0;2;1;3;0,60,90.22541110543483,0.7913438540966837,2.631333336995425,91.41800000122069,1,660,0.2923227151779196,-0.3628724028405683
cifar10-valid,0;2;2;0;2,90,83.86982221632667,2.038548391446669,7.320000032958987,87.66000000976562,1,1080,0.4065071642070691,-0.5811514857575646
cifar10-valid,0;2;2;1;1,180,88.487251846639,1.0580056475736024,4.728666648762996,90.58199998046874,1,2340,0.3030966888098435,-0.3622672851723624
cifar10-valid,0;2;2;2;0,90,90.04905924687138,0.6735912411373006,2.3486666540527352,91.30199997436523,1,1080,0.3642021726859525,-0.24070583601670723
cifar10-valid,0;2;3;0;1,60,86.92747777697076,0.8512522786843075,2.8699999914550745,88.3540000012207,1,660,0.19960028774346542,-0.292118220826542
cifar10-valid,0;2;3;1;0,60,89.68148888433161,0.5221912124141399,1.8040000028482979,90.69999999389648,1,660,0.2871311603783544,-0.404953335960759
cifar10-valid,0;2;4;0;0,15,87.26946666587997,0.7176987554968329,2.060666650797529,88.54999998901368,1,120,0.0834942713972812,-0.4169721995359789
cifar10-valid,0;3;0;0;3,20,34.17859999974569,1.9086617400596813,5.0626666621907574,37.52933332845052,1,180,-0.1874415686766878,0.0014579129379261792
cifar10-valid,0;3;0;1;2,60,77.06017777730982,5.2126385958953625,16.793333346354174,85.38400000569662,1,660,0.42885436879373,-0.2598779117510405
cifar10-valid,0;3;0;2;1,60,86.06579999680585,2.0817396567808526,6.105333323567706,89.57599999023438,1,660,0.3313353445138803,-0.5919378838929228
cifar10-valid,0;3;0;3;0,20,89.83939999715169,1.1101120031018972,3.7079999780273454,91.00399999023438,1,180,-0.172476545230858,-0.27586579655156585
cifar10-valid,0;3;1;0;2,60,76.53726666115315,4.312819603839384,14.68400001953124,83.7280000048828,1,660,0.4228604006217509,-0.38917566476037224
cifar10-valid,0;3;1;1;1,120,86.01062777526516,1.9757144386562442,5.953999989827466,89.40799998860676,1,1440,0.38979070702684987,-0.30346748222301945
cifar10-valid,0;3;1;2;0,60,89.62962220876737,1.1203615523843644,4.83399998657228,91.00799998168947,1,660,0.04131524826508292,-0.143567133448508
cifar10-valid,0;3;2;0;1,60,84.8923888923611,1.6208714877826222,5.655333356526697,87.63800001342773,1,660,0.33396041656698167,-0.6348515243321512
cifar10-valid,0;3;2;1;0,60,89.26101110264759,0.9376932935305285,4.3959999902343725,90.65199997924805,1,660,0.05802376361514648,-0.1278187704613777
cifar10-valid,0;3;3;0;0,20,87.21706666355388,0.4937067675239067,1.8139999902343789,87.91999999145509,1,180,-0.15827191323781356,-0.25594682863765233
cifar10-valid,0;4;0;0;2,15,34.107466662339945,2.753314136968473,11.179333334045417,43.56133333129883,1,120,-0.043694661998646994,-0.5867689024743311
cifar10-valid,0;4;0;1;1,30,78.06024444223361,4.547612332747681,11.035999983723954,85.38133332438152,2,270,0.3298031362123207,-0.42761496792542547
cifar10-valid,0;4;0;2;0,15,86.68639999061413,1.9931844263141902,4.774666672363296,89.42799998779297,1,120,0.0922748912143389,-0.28375503918971356
cifar10-valid,0;4;1;0;1,30,77.85353332820635,3.976647427584751,11.702666671549466,84.02266665445963,1,270,0.3226538892754179,-0.4395325457187343
cifar10-valid,0;4;1;1;0,30,86.6391999986301,1.8768901124843325,4.458666644287121,89.37999999145508,1,270,0.1828737490965239,-0.4984349712467085
cifar10-valid,0;4;2;0;0,15,85.49644444943576,1.3136015654049502,3.1993332999674493,87.14999998046875,1,120,0.14698001283892514,-0.4525316212346715
cifar10-valid,0;5;0;0;1,6,41.591333333265524,5.6056150042381105,12.67600001261394,46.48533333577475,1,30,-0.19999999999999993,-0.39044125146736297
cifar10-valid,0;5;0;1;0,6,78.33822222398545,4.5588330234422045,10.23333331542969,85.15599999023438,1,30,-0.2,-0.6688121483031773
cifar10-valid,0;5;1;0;0,6,77.10511111368815,5.071861397712293,11.251999998372398,84.70666666910807,1,30,-0.20000000000000004,-0.6702704835083636
