system,perm,fitness
damped_oscillator,"[0, 1, 2, 3, 4, 5]",0.402855
damped_oscillator,"[0, 1, 2, 3, 5, 4]",0.487914
damped_oscillator,"[0, 1, 2, 4, 3, 5]",0.402855
damped_oscillator,"[0, 1, 2, 4, 5, 3]",0.579753
damped_oscillator,"[0, 1, 2, 5, 3, 4]",0.774953
damped_oscillator,"[0, 1, 2, 5, 4, 3]",0.772638
damped_oscillator,"[0, 1, 3, 2, 4, 5]",0.402855
damped_oscillator,"[0, 1, 3, 2, 5, 4]",0.487914
damped_oscillator,"[0, 1, 3, 4, 2, 5]",0.40353
damped_oscillator,"[0, 1, 3, 4, 5, 2]",0.972747
damped_oscillator,"[0, 1, 3, 5, 2, 4]",0.996488
damped_oscillator,"[0, 1, 3, 5, 4, 2]",0.996541
damped_oscillator,"[0, 1, 4, 2, 3, 5]",0.40353
damped_oscillator,"[0, 1, 4, 2, 5, 3]",0.497852
damped_oscillator,"[0, 1, 4, 3, 2, 5]",0.40353
damped_oscillator,"[0, 1, 4, 3, 5, 2]",0.972747
damped_oscillator,"[0, 1, 4, 5, 2, 3]",0.972747
damped_oscillator,"[0, 1, 4, 5, 3, 2]",0.972747
damped_oscillator,"[0, 1, 5, 2, 3, 4]",0.996488
damped_oscillator,"[0, 1, 5, 2, 4, 3]",0.996488
damped_oscillator,"[0, 1, 5, 3, 2, 4]",0.996551
damped_oscillator,"[0, 1, 5, 3, 4, 2]",0.996709
damped_oscillator,"[0, 1, 5, 4, 2, 3]",0.996541
damped_oscillator,"[0, 1, 5, 4, 3, 2]",0.996701
damped_oscillator,"[0, 2, 1, 3, 4, 5]",0.41214
damped_oscillator,"[0, 2, 1, 3, 5, 4]",0.45269
damped_oscillator,"[0, 2, 1, 4, 3, 5]",0.41214
damped_oscillator,"[0, 2, 1, 4, 5, 3]",0.568296
damped_oscillator,"[0, 2, 1, 5, 3, 4]",0.645928
damped_oscillator,"[0, 2, 1, 5, 4, 3]",0.64525
damped_oscillator,"[0, 2, 3, 1, 4, 5]",0.41214
damped_oscillator,"[0, 2, 3, 1, 5, 4]",0.45269
damped_oscillator,"[0, 2, 3, 4, 1, 5]",0.40917
damped_oscillator,"[0, 2, 3, 4, 5, 1]",0.425775
damped_oscillator,"[0, 2, 3, 5, 1, 4]",0.480106
damped_oscillator,"[0, 2, 3, 5, 4, 1]",0.474974
damped_oscillator,"[0, 2, 4, 1, 3, 5]",0.40917
damped_oscillator,"[0, 2, 4, 1, 5, 3]",0.549882
