dataset,level,distribution,n_placements,range,fdc,rho_swap,prism_hits,random_hits,prism_mean_evals,random_mean_evals,search_wins,forecast_correct
cifar10-valid,HIGH,2;1;0;0;3,60,29.148000005086267,-0.6637674947374411,0.33293603752609113,24,18,23.7,13.6,False,False
cifar10-valid,HIGH,0;1;2;2;1,180,3.317999997965515,-0.5379845846386078,0.46141595454188544,17,6,25.9,17.8,True,True
cifar10-valid,HIGH,0;1;1;3;1,120,3.5426666434732965,-0.5949245668799258,0.44784360528032297,17,13,25.1,20.5,False,False
cifar10-valid,LOW,1;3;2;0;0,60,5.543333354085291,-0.04214497978761608,-0.011307341325091763,27,22,19.5,11.5,False,True
cifar10-valid,LOW,2;1;0;3;0,60,6.887333325602228,-0.1257677755819146,-0.022798133195904964,32,19,23.3,16.7,True,False
cifar10-valid,LOW,2;0;1;3;0,60,4.330666656901045,0.09203490940708263,0.21651874454817827,21,18,19.7,16.0,False,True
cifar100,HIGH,0;3;2;0;1,60,13.310000059000657,-0.6369359905441193,0.3649224834636805,31,20,21.3,13.4,True,True
cifar100,HIGH,0;3;0;2;1,60,10.253333371988944,-0.652416154044745,0.38211474577450527,28,18,21.4,14.6,True,True
cifar100,HIGH,0;1;2;0;3,60,17.569999920654297,-0.6676114935496857,0.37053734463409677,30,18,21.9,15.4,True,True
cifar100,LOW,0;0;3;2;1,60,2.7200000366211015,0.06455115605098496,0.042566211563372515,17,19,19.9,13.9,False,True
cifar100,LOW,2;1;0;3;0,60,14.093333243815117,-0.09818804309713222,-0.00193102834448888,31,19,23.0,16.7,True,False
cifar100,LOW,3;2;0;1;0,60,66.86999992802936,0.057149504941600114,0.1829498912203202,21,19,21.0,19.9,False,True
ImageNet16-120,HIGH,0;2;0;2;2,90,15.216666661580405,-0.6041637156229048,0.3855097861230752,23,10,23.6,15.9,True,True
ImageNet16-120,HIGH,0;3;2;0;1,60,8.850000008477103,-0.6559282593348008,0.35167797469513873,32,21,22.7,16.7,True,True
ImageNet16-120,HIGH,0;3;0;2;1,60,10.999999967787002,-0.6759843404776636,0.37647081304219276,29,18,21.1,14.6,True,True
ImageNet16-120,LOW,2;2;0;2;0,90,19.716666615804034,0.01910535188449964,0.045215762563243916,26,13,22.3,14.1,True,False
ImageNet16-120,LOW,2;3;1;0;0,60,8.016666642083067,0.11838423565758956,0.18384056968775597,25,25,21.6,14.7,False,True
ImageNet16-120,LOW,3;2;0;0;1,60,29.383333253648548,0.09781936723410697,0.2421897823032249,21,20,19.2,15.3,False,True
