source,item,forecast,predicted_search_wins,observed_search_wins,correct,conservative_miss,statistic
gauntlet_landscape,adjacency_n7,search_pays,1,1,1,0,-0.281
gauntlet_landscape,deceptive_n7,do_not_search,0,0,1,0,0.8104
gauntlet_landscape,hamming_n7,search_pays,1,1,1,0,-0.8244
gauntlet_landscape,kendall_n7,search_pays,1,1,1,0,-0.7537
gauntlet_landscape,llm_gsm8k_n6,search_pays,1,0,0,0,-0.364
gauntlet_landscape,parity_n5,search_pays,1,1,1,0,-0.2483
gauntlet_landscape,parity_n7,random_competitive,0,0,1,0,-0.0524
gauntlet_landscape,sciml_cubic_oscillator,random_competitive,0,1,0,1,-0.0432
gauntlet_landscape,sciml_damped_oscillator,search_pays,1,1,1,0,-0.2969
gauntlet_landscape,sciml_lorenz63,search_pays,1,1,1,0,-0.4323
gauntlet_landscape,sciml_lotka_volterra,random_competitive,0,1,0,1,-0.0972
gauntlet_landscape,sciml_rossler,search_pays,1,1,1,0,-0.2725
gauntlet_landscape,sciml_vanderpol,search_pays,1,1,1,0,-0.1934
gauntlet_landscape,xor_n5,search_pays,1,0,0,0,-0.3406
gauntlet_landscape,xor_n6,search_pays,1,0,0,0,-0.2245
nasbench_slice,cifar10-valid|2;1;0;0;3,search_pays,1,0,0,0,-0.6638
nasbench_slice,cifar10-valid|0;1;2;2;1,search_pays,1,1,1,0,-0.538
nasbench_slice,cifar10-valid|0;1;1;3;1,search_pays,1,0,0,0,-0.5949
nasbench_slice,cifar10-valid|1;3;2;0;0,random_competitive,0,0,1,0,-0.0421
nasbench_slice,cifar10-valid|2;1;0;3;0,random_competitive,0,1,0,1,-0.1258
nasbench_slice,cifar10-valid|2;0;1;3;0,random_competitive,0,0,1,0,0.092
nasbench_slice,cifar100|0;3;2;0;1,search_pays,1,1,1,0,-0.6369
nasbench_slice,cifar100|0;3;0;2;1,search_pays,1,1,1,0,-0.6524
nasbench_slice,cifar100|0;1;2;0;3,search_pays,1,1,1,0,-0.6676
nasbench_slice,cifar100|0;0;3;2;1,random_competitive,0,0,1,0,0.0646
nasbench_slice,cifar100|2;1;0;3;0,random_competitive,0,1,0,1,-0.0982
nasbench_slice,cifar100|3;2;0;1;0,random_competitive,0,0,1,0,0.0571
nasbench_slice,ImageNet16-120|0;2;0;2;2,search_pays,1,1,1,0,-0.6042
nasbench_slice,ImageNet16-120|0;3;2;0;1,search_pays,1,1,1,0,-0.6559
nasbench_slice,ImageNet16-120|0;3;0;2;1,search_pays,1,1,1,0,-0.676
nasbench_slice,ImageNet16-120|2;2;0;2;0,random_competitive,0,1,0,1,0.0191
nasbench_slice,ImageNet16-120|2;3;1;0;0,random_competitive,0,0,1,0,0.1184
nasbench_slice,ImageNet16-120|3;2;0;0;1,random_competitive,0,0,1,0,0.0978
