landscape,family,n,method,seed,budget,evaluated,hit,best,optimum,regret,auc,best_at_15,best_at_25,best_at_50,best_at_100,best_at_200,hit_by_15,hit_by_25,hit_by_50,hit_by_100,hit_by_200
adjacency_n7,synthetic,7,ea_aging,0,200,200,98,1.0,1.0,0.0,0.87416667,0.66666667,0.66666667,0.66666667,1.0,1.0,0,0,0,1,1
adjacency_n7,synthetic,7,ea_aging,1,200,200,,0.83333333,1.0,0.16666667,0.795,0.66666667,0.66666667,0.83333333,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_aging,2,200,200,119,1.0,1.0,0.0,0.86416667,0.66666667,0.66666667,0.83333333,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_aging,3,200,200,192,1.0,1.0,0.0,0.80833333,0.66666667,0.66666667,0.83333333,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_aging,4,200,200,91,1.0,1.0,0.0,0.90833333,0.83333333,0.83333333,0.83333333,1.0,1.0,0,0,0,1,1
adjacency_n7,synthetic,7,ea_aging,5,200,200,,0.83333333,1.0,0.16666667,0.75833333,0.66666667,0.66666667,0.66666667,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_aging,6,200,200,,0.83333333,1.0,0.16666667,0.80166667,0.66666667,0.66666667,0.83333333,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_aging,7,200,200,,0.83333333,1.0,0.16666667,0.76083333,0.66666667,0.66666667,0.66666667,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_aging,8,200,200,147,1.0,1.0,0.0,0.76416667,0.5,0.5,0.66666667,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_aging,9,200,200,,0.83333333,1.0,0.16666667,0.72583333,0.66666667,0.66666667,0.66666667,0.66666667,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_aging,10,200,200,24,1.0,1.0,0.0,0.9525,0.66666667,1.0,1.0,1.0,1.0,0,1,1,1,1
adjacency_n7,synthetic,7,ea_aging,11,200,200,174,1.0,1.0,0.0,0.77666667,0.66666667,0.66666667,0.66666667,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_aging,12,200,200,36,1.0,1.0,0.0,0.93,0.66666667,0.66666667,1.0,1.0,1.0,0,0,1,1,1
adjacency_n7,synthetic,7,ea_aging,13,200,200,,0.83333333,1.0,0.16666667,0.755,0.66666667,0.66666667,0.66666667,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_aging,14,200,200,40,1.0,1.0,0.0,0.93083333,0.66666667,0.66666667,1.0,1.0,1.0,0,0,1,1,1
adjacency_n7,synthetic,7,ea_aging,15,200,200,91,1.0,1.0,0.0,0.92,0.83333333,0.83333333,0.83333333,1.0,1.0,0,0,0,1,1
adjacency_n7,synthetic,7,ea_aging,16,200,200,,0.83333333,1.0,0.16666667,0.74833333,0.5,0.5,0.66666667,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_aging,17,200,200,,0.83333333,1.0,0.16666667,0.75833333,0.66666667,0.66666667,0.66666667,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_aging,18,200,200,145,1.0,1.0,0.0,0.73333333,0.5,0.5,0.66666667,0.66666667,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_aging,19,200,200,,0.83333333,1.0,0.16666667,0.7025,0.5,0.66666667,0.66666667,0.66666667,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_aging,20,200,200,,0.83333333,1.0,0.16666667,0.74666667,0.66666667,0.66666667,0.66666667,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_aging,21,200,200,,0.83333333,1.0,0.16666667,0.705,0.66666667,0.66666667,0.66666667,0.66666667,0.83333333,0,0,0,0,0
