landscape,family,n,method,seed,budget,evaluated,hit,best,optimum,regret,auc,best_at_15,best_at_25,best_at_50,best_at_100,best_at_200,hit_by_15,hit_by_25,hit_by_50,hit_by_100,hit_by_200
llm_gsm8k_n6,llm,6,uniform,0,200,200,5,0.96875,0.96875,0.0,0.96625,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,1,200,200,8,0.96875,0.96875,0.0,0.96265625,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,2,200,200,7,0.96875,0.96875,0.0,0.96734375,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,3,200,200,3,0.96875,0.96875,0.0,0.96375,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,4,200,200,12,0.96875,0.96875,0.0,0.96609375,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,5,200,200,4,0.96875,0.96875,0.0,0.9678125,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,6,200,200,8,0.96875,0.96875,0.0,0.96703125,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,7,200,200,1,0.96875,0.96875,0.0,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,8,200,200,12,0.96875,0.96875,0.0,0.96703125,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,9,200,200,2,0.96875,0.96875,0.0,0.96546875,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,10,200,200,8,0.96875,0.96875,0.0,0.95984375,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,11,200,200,8,0.96875,0.96875,0.0,0.96234375,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,12,200,200,6,0.96875,0.96875,0.0,0.9640625,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,13,200,200,3,0.96875,0.96875,0.0,0.96609375,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,14,200,200,16,0.96875,0.96875,0.0,0.96171875,0.9375,0.96875,0.96875,0.96875,0.96875,0,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,15,200,200,10,0.96875,0.96875,0.0,0.96484375,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,16,200,200,3,0.96875,0.96875,0.0,0.968125,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,17,200,200,18,0.96875,0.96875,0.0,0.96609375,0.9375,0.96875,0.96875,0.96875,0.96875,0,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,18,200,200,10,0.96875,0.96875,0.0,0.96625,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,19,200,200,20,0.96875,0.96875,0.0,0.96546875,0.9375,0.96875,0.96875,0.96875,0.96875,0,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,20,200,200,14,0.96875,0.96875,0.0,0.96515625,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,21,200,200,8,0.96875,0.96875,0.0,0.960625,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,22,200,200,5,0.96875,0.96875,0.0,0.96296875,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,23,200,200,19,0.96875,0.96875,0.0,0.9615625,0.9375,0.96875,0.96875,0.96875,0.96875,0,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,24,200,200,5,0.96875,0.96875,0.0,0.96328125,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,25,200,200,4,0.96875,0.96875,0.0,0.9675,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,26,200,200,3,0.96875,0.96875,0.0,0.9684375,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,27,200,200,12,0.96875,0.96875,0.0,0.965625,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,28,200,200,11,0.96875,0.96875,0.0,0.965625,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,29,200,200,3,0.96875,0.96875,0.0,0.9675,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,30,200,200,9,0.96875,0.96875,0.0,0.96125,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,31,200,200,7,0.96875,0.96875,0.0,0.966875,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,32,200,200,9,0.96875,0.96875,0.0,0.96453125,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,33,200,200,8,0.96875,0.96875,0.0,0.96765625,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,34,200,200,38,0.96875,0.96875,0.0,0.9578125,0.9375,0.9375,0.96875,0.96875,0.96875,0,0,1,1,1
llm_gsm8k_n6,llm,6,uniform,35,200,200,37,0.96875,0.96875,0.0,0.963125,0.9375,0.9375,0.96875,0.96875,0.96875,0,0,1,1,1
llm_gsm8k_n6,llm,6,uniform,36,200,200,27,0.96875,0.96875,0.0,0.9646875,0.9375,0.9375,0.96875,0.96875,0.96875,0,0,1,1,1
llm_gsm8k_n6,llm,6,uniform,37,200,200,12,0.96875,0.96875,0.0,0.96046875,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,uniform,38,200,200,36,0.96875,0.96875,0.0,0.96,0.9375,0.9375,0.96875,0.96875,0.96875,0,0,1,1,1
llm_gsm8k_n6,llm,6,uniform,39,200,200,3,0.96875,0.96875,0.0,0.968125,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,ls_swap,0,200,200,7,0.96875,0.96875,0.0,0.96765625,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,ls_swap,1,200,200,19,0.96875,0.96875,0.0,0.964375,0.9375,0.96875,0.96875,0.96875,0.96875,0,1,1,1,1
llm_gsm8k_n6,llm,6,ls_swap,2,200,200,1,0.96875,0.96875,0.0,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,ls_swap,3,200,200,29,0.96875,0.96875,0.0,0.9575,0.9375,0.9375,0.96875,0.96875,0.96875,0,0,1,1,1
llm_gsm8k_n6,llm,6,ls_swap,4,200,200,10,0.96875,0.96875,0.0,0.9640625,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,ls_swap,5,200,200,1,0.96875,0.96875,0.0,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
llm_gsm8k_n6,llm,6,ls_swap,6,200,200,1,0.96875,0.96875,0.0,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,1,1
