landscape,family,method,budget,seeds,success,success_low,success_high,mean_best,mean_auc,mean_evals_to_hit,n_hits
adjacency_n7,synthetic,ea_aging,15,40,0.0,0.0,0.0876,0.6,0.800687,112.48,21
adjacency_n7,synthetic,ea_aging,25,40,0.025,0.0044,0.1288,0.645833,0.800687,112.48,21
adjacency_n7,synthetic,ea_aging,50,40,0.075,0.0258,0.1986,0.745833,0.800687,112.48,21
adjacency_n7,synthetic,ea_aging,100,40,0.225,0.1232,0.375,0.845833,0.800687,112.48,21
adjacency_n7,synthetic,ea_aging,200,40,0.525,0.375,0.6706,0.920833,0.800687,112.48,21
adjacency_n7,synthetic,ea_elitist,15,40,0.0,0.0,0.0876,0.6,0.815271,110.59,22
adjacency_n7,synthetic,ea_elitist,25,40,0.0,0.0,0.0876,0.6375,0.815271,110.59,22
adjacency_n7,synthetic,ea_elitist,50,40,0.05,0.0138,0.165,0.783333,0.815271,110.59,22
adjacency_n7,synthetic,ea_elitist,100,40,0.225,0.1232,0.375,0.854167,0.815271,110.59,22
adjacency_n7,synthetic,ea_elitist,200,40,0.55,0.3983,0.6929,0.925,0.815271,110.59,22
adjacency_n7,synthetic,ea_portfolio,15,40,0.0,0.0,0.0876,0.6,0.821146,114.4,30
adjacency_n7,synthetic,ea_portfolio,25,40,0.0,0.0,0.0876,0.633333,0.821146,114.4,30
adjacency_n7,synthetic,ea_portfolio,50,40,0.05,0.0138,0.165,0.745833,0.821146,114.4,30
adjacency_n7,synthetic,ea_portfolio,100,40,0.35,0.2213,0.5049,0.883333,0.821146,114.4,30
adjacency_n7,synthetic,ea_portfolio,200,40,0.75,0.5981,0.8581,0.958333,0.821146,114.4,30
adjacency_n7,synthetic,eda_precedence,15,40,0.0,0.0,0.0876,0.6,0.774021,73.89,9
adjacency_n7,synthetic,eda_precedence,25,40,0.05,0.0138,0.165,0.691667,0.774021,73.89,9
adjacency_n7,synthetic,eda_precedence,50,40,0.075,0.0258,0.1986,0.75,0.774021,73.89,9
adjacency_n7,synthetic,eda_precedence,100,40,0.15,0.0706,0.2907,0.795833,0.774021,73.89,9
adjacency_n7,synthetic,eda_precedence,200,40,0.225,0.1232,0.375,0.85,0.774021,73.89,9
adjacency_n7,synthetic,iterated_local_search,15,40,0.0,0.0,0.0876,0.5125,0.758875,115.75,12
adjacency_n7,synthetic,iterated_local_search,25,40,0.0,0.0,0.0876,0.55,0.758875,115.75,12
adjacency_n7,synthetic,iterated_local_search,50,40,0.05,0.0138,0.165,0.695833,0.758875,115.75,12
adjacency_n7,synthetic,iterated_local_search,100,40,0.15,0.0706,0.2907,0.833333,0.758875,115.75,12
adjacency_n7,synthetic,iterated_local_search,200,40,0.3,0.1807,0.4543,0.883333,0.758875,115.75,12
adjacency_n7,synthetic,ls_insert,15,40,0.0,0.0,0.0876,0.5125,0.751458,132.57,14
adjacency_n7,synthetic,ls_insert,25,40,0.0,0.0,0.0876,0.55,0.751458,132.57,14
adjacency_n7,synthetic,ls_insert,50,40,0.05,0.0138,0.165,0.695833,0.751458,132.57,14
adjacency_n7,synthetic,ls_insert,100,40,0.125,0.0546,0.2611,0.820833,0.751458,132.57,14
adjacency_n7,synthetic,ls_insert,200,40,0.35,0.2213,0.5049,0.883333,0.751458,132.57,14
adjacency_n7,synthetic,ls_inversion,15,40,0.0,0.0,0.0876,0.5375,0.865104,74.81,36
adjacency_n7,synthetic,ls_inversion,25,40,0.025,0.0044,0.1288,0.6,0.865104,74.81,36
adjacency_n7,synthetic,ls_inversion,50,40,0.25,0.1419,0.4019,0.820833,0.865104,74.81,36
adjacency_n7,synthetic,ls_inversion,100,40,0.7,0.5457,0.8193,0.941667,0.865104,74.81,36
adjacency_n7,synthetic,ls_inversion,200,40,0.9,0.7695,0.9604,0.983333,0.865104,74.81,36
adjacency_n7,synthetic,ls_swap,15,40,0.0,0.0,0.0876,0.579167,0.820771,109.0,23
adjacency_n7,synthetic,ls_swap,25,40,0.025,0.0044,0.1288,0.654167,0.820771,109.0,23
adjacency_n7,synthetic,ls_swap,50,40,0.125,0.0546,0.2611,0.779167,0.820771,109.0,23
adjacency_n7,synthetic,ls_swap,100,40,0.275,0.1611,0.4284,0.875,0.820771,109.0,23
