landscape,budget,uniform,decisive_winners,n_winners
adjacency_n7,50,0.0,ls_inversion=0.25;surrogate_positional=0.325;surrogate_precedence=0.45,3
adjacency_n7,100,0.0,ea_aging=0.225;ea_elitist=0.225;ea_portfolio=0.35;ls_inversion=0.7;ls_swap=0.275;simulated_annealing=0.25;surrogate_positional=0.425;surrogate_precedence=0.725,8
deceptive_n7,50,0.0,,0
deceptive_n7,100,0.0,,0
hamming_n7,50,0.0,surrogate_positional=1.0;surrogate_precedence=0.25,2
hamming_n7,100,0.0,ea_aging=0.25;ea_elitist=0.65;ea_portfolio=0.375;ls_inversion=0.2;ls_swap=0.75;surrogate_positional=1.0;surrogate_precedence=0.475,7
kendall_n7,50,0.0,eda_precedence=0.225;surrogate_positional=0.325;surrogate_precedence=1.0,3
kendall_n7,100,0.0,ea_aging=0.2;ea_elitist=0.4;ea_portfolio=0.35;eda_precedence=0.475;iterated_local_search=0.525;ls_insert=0.525;ls_inversion=0.65;ls_swap=0.675;simulated_annealing=0.3;surrogate_positional=0.45;surrogate_precedence=1.0,11
llm_gsm8k_n6,50,1.0,,0
llm_gsm8k_n6,100,1.0,,0
parity_n5,50,0.475,surrogate_positional=0.8,1
parity_n5,100,1.0,,0
parity_n7,50,0.025,,0
parity_n7,100,0.1,,0
sciml_cubic_oscillator,50,0.125,ea_elitist=0.55;ea_portfolio=0.45;iterated_local_search=0.4;ls_insert=0.4,4
sciml_cubic_oscillator,100,0.275,ea_aging=0.65;ea_elitist=0.825;ea_portfolio=0.95;iterated_local_search=0.675;ls_insert=0.725;ls_swap=0.65,6
sciml_damped_oscillator,50,0.025,surrogate_precedence=0.4,1
sciml_damped_oscillator,100,0.025,ea_elitist=0.6;ea_portfolio=0.5;iterated_local_search=0.45;ls_insert=0.375;ls_inversion=0.85;ls_swap=0.75;surrogate_positional=0.275;surrogate_precedence=0.5,8
sciml_lorenz63,50,0.175,ea_elitist=0.475;eda_precedence=0.525;iterated_local_search=0.625;ls_insert=0.625;surrogate_precedence=0.675,5
sciml_lorenz63,100,0.35,ea_aging=0.675;ea_elitist=0.775;ea_portfolio=0.925;eda_precedence=0.75;iterated_local_search=1.0;ls_insert=1.0;ls_swap=0.7;surrogate_precedence=0.925,8
sciml_lotka_volterra,50,0.4,ea_elitist=0.725,1
sciml_lotka_volterra,100,0.525,ea_aging=0.875;ea_elitist=0.975;ea_portfolio=0.95;iterated_local_search=0.825;ls_swap=0.95,5
sciml_rossler,50,0.05,iterated_local_search=0.4;ls_insert=0.4;ls_inversion=0.35;ls_swap=0.325,4
sciml_rossler,100,0.05,ea_aging=0.375;ea_elitist=0.725;ea_portfolio=0.675;eda_precedence=0.425;iterated_local_search=1.0;ls_insert=1.0;ls_inversion=0.9;ls_swap=0.9;surrogate_precedence=0.425,9
sciml_vanderpol,50,0.225,,0
sciml_vanderpol,100,0.375,ea_portfolio=0.8;iterated_local_search=0.75;ls_insert=0.75;ls_swap=0.7,4
xor_n5,50,0.975,,0
xor_n5,100,1.0,,0
xor_n6,50,0.95,,0
xor_n6,100,0.95,,0
