landscape,n,n_orderings,q_total,q_subset,resamples,regime_agreement,operator_agreement,mean_distinct_values,mean_abs_fdc_error,full_regime,full_operator,full_fdc,full_distinct_values
llm_gsm8k_n6,6,720,32,4,60,0.8833,0.9667,5.0,0.0971,search_pays,insert,-0.3598,29
llm_gsm8k_n6,6,720,32,8,60,0.9333,1.0,8.8,0.065,search_pays,insert,-0.3598,29
llm_gsm8k_n6,6,720,32,16,60,1.0,1.0,16.02,0.0385,search_pays,insert,-0.3598,29
llm_gsm8k_n8,8,1170,20,4,60,0.9667,0.5667,5.0,0.1123,search_pays,insert,-0.3813,20
llm_gsm8k_n8,8,1170,20,8,60,0.9667,0.4667,9.0,0.0874,search_pays,insert,-0.3813,20
llm_gsm8k_n8,8,1170,20,16,60,1.0,0.5667,16.62,0.0743,search_pays,insert,-0.3813,20
llm_gemma_n6,6,120,32,4,60,1.0,0.5833,4.78,0.3978,search_pays,insert,-0.1709,29
llm_gemma_n6,6,120,32,8,60,0.9667,0.5667,8.58,0.2693,search_pays,insert,-0.1709,29
llm_gemma_n6,6,120,32,16,60,0.7167,0.55,15.78,0.1566,search_pays,insert,-0.1709,29
llm_llama_n6,6,120,32,4,60,0.2333,0.4667,4.67,0.1319,random_competitive,swap,-0.1475,20
llm_llama_n6,6,120,32,8,60,0.3167,0.4667,7.22,0.1062,random_competitive,swap,-0.1475,20
llm_llama_n6,6,120,32,16,60,0.4667,0.5833,12.13,0.0847,random_competitive,swap,-0.1475,20
llm_qwen_n6,6,120,32,4,60,0.6,0.4333,3.07,0.1871,search_pays,insert,-0.4012,10
llm_qwen_n6,6,120,32,8,60,0.95,0.4,4.42,0.0914,search_pays,insert,-0.4012,10
llm_qwen_n6,6,120,32,16,60,0.9667,0.1833,6.6,0.0686,search_pays,insert,-0.4012,10
llm_math500_n8,8,429,100,4,60,0.2333,0.4333,4.5,0.3866,random_competitive,swap,0.1189,45
llm_math500_n8,8,429,100,8,60,0.35,0.4667,7.98,0.3208,random_competitive,swap,0.1189,45
llm_math500_n8,8,429,100,16,60,0.5167,0.3833,14.52,0.2763,random_competitive,swap,0.1189,45
llm_math500_n8,8,429,100,32,60,0.7667,0.5667,23.18,0.2005,random_competitive,swap,0.1189,45
llm_math500_n8,8,429,100,64,60,0.85,0.55,39.87,0.1598,random_competitive,swap,0.1189,45
