landscape,family,n,probe_m,resamples,operator_agreement,regime_agreement,mean_abs_fdc_error,mean_abs_rho1_error,true_operator,true_fdc,true_regime,margin_to_threshold,predicted_flip_rate
llm_gsm8k_n6,llm,6,20,200,0.61,0.83,0.1717,0.1789,insert,-0.364,search_pays,0.214,0.1711
llm_gsm8k_n6,llm,6,50,200,0.7,0.965,0.0866,0.1027,insert,-0.364,search_pays,0.214,0.0571
llm_gsm8k_n6,llm,6,100,200,0.84,0.995,0.0642,0.0758,insert,-0.364,search_pays,0.214,0.0116
llm_gsm8k_n6,llm,6,200,200,0.9,1.0,0.0418,0.0487,insert,-0.364,search_pays,0.214,0.0006
llm_gsm8k_n6,llm,6,500,200,0.965,1.0,0.0165,0.0332,insert,-0.364,search_pays,0.214,0.0
parity_n7,neural,7,20,200,0.365,0.605,0.1781,0.2206,swap,-0.0524,random_competitive,0.0976,0.342
parity_n7,neural,7,50,200,0.33,0.795,0.1231,0.1286,swap,-0.0524,random_competitive,0.0976,0.2493
parity_n7,neural,7,100,200,0.375,0.815,0.0992,0.0922,swap,-0.0524,random_competitive,0.0976,0.1654
parity_n7,neural,7,200,200,0.375,0.94,0.0673,0.0672,swap,-0.0524,random_competitive,0.0976,0.0829
parity_n7,neural,7,500,200,0.41,0.995,0.0415,0.0444,swap,-0.0524,random_competitive,0.0976,0.0139
xor_n6,neural,6,20,200,0.375,0.59,0.1976,0.2208,insert,-0.2245,search_pays,0.0745,0.3751
xor_n6,neural,6,50,200,0.37,0.635,0.1336,0.1271,insert,-0.2245,search_pays,0.0745,0.2983
xor_n6,neural,6,100,200,0.405,0.725,0.081,0.0915,insert,-0.2245,search_pays,0.0745,0.2235
xor_n6,neural,6,200,200,0.425,0.82,0.0554,0.0604,insert,-0.2245,search_pays,0.0745,0.1392
xor_n6,neural,6,500,200,0.46,0.96,0.0266,0.0349,insert,-0.2245,search_pays,0.0745,0.0426
xor_n5,neural,5,20,200,0.43,0.775,0.1717,0.2291,inversion,-0.3406,search_pays,0.1906,0.2006
xor_n5,neural,5,50,200,0.43,0.89,0.0947,0.1317,inversion,-0.3406,search_pays,0.1906,0.0814
xor_n5,neural,5,100,200,0.45,0.995,0.0526,0.0834,inversion,-0.3406,search_pays,0.1906,0.0225
xor_n5,neural,5,200,200,0.4,1.0,0.0366,0.0647,inversion,-0.3406,search_pays,0.1906,0.0021
xor_n5,neural,5,500,200,0.545,1.0,0.0262,0.036,inversion,-0.3406,search_pays,0.1906,0.0
parity_n5,neural,5,20,200,0.365,0.47,0.2175,0.2134,swap,-0.2483,search_pays,0.0983,0.3364
parity_n5,neural,5,50,200,0.395,0.555,0.1372,0.1369,swap,-0.2483,search_pays,0.0983,0.2413
parity_n5,neural,5,100,200,0.395,0.565,0.0948,0.0983,swap,-0.2483,search_pays,0.0983,0.1565
parity_n5,neural,5,200,200,0.455,0.455,0.0729,0.0708,swap,-0.2483,search_pays,0.0983,0.0753
parity_n5,neural,5,500,200,0.505,0.505,0.0662,0.0454,swap,-0.2483,search_pays,0.0983,0.0112
sciml_damped_oscillator,sciml,6,20,200,0.575,0.7,0.2003,0.1979,insert,-0.2969,search_pays,0.1469,0.2614
sciml_damped_oscillator,sciml,6,50,200,0.765,0.795,0.1185,0.1345,insert,-0.2969,search_pays,0.1469,0.144
sciml_damped_oscillator,sciml,6,100,200,0.875,0.875,0.0844,0.0799,insert,-0.2969,search_pays,0.1469,0.0635
sciml_damped_oscillator,sciml,6,200,200,0.94,0.955,0.0509,0.0592,insert,-0.2969,search_pays,0.1469,0.0148
sciml_damped_oscillator,sciml,6,500,200,0.995,0.995,0.0196,0.0371,insert,-0.2969,search_pays,0.1469,0.0003
sciml_cubic_oscillator,sciml,6,20,200,0.615,0.61,0.1703,0.2133,insert,-0.0432,random_competitive,0.1068,0.3282
sciml_cubic_oscillator,sciml,6,50,200,0.735,0.83,0.1058,0.136,insert,-0.0432,random_competitive,0.1068,0.2298
sciml_cubic_oscillator,sciml,6,100,200,0.84,0.95,0.0578,0.0971,insert,-0.0432,random_competitive,0.1068,0.144
sciml_cubic_oscillator,sciml,6,200,200,0.96,0.98,0.0452,0.0565,insert,-0.0432,random_competitive,0.1068,0.065
sciml_cubic_oscillator,sciml,6,500,200,0.995,1.0,0.0176,0.0424,insert,-0.0432,random_competitive,0.1068,0.0081
sciml_vanderpol,sciml,6,20,200,0.695,0.445,0.2094,0.1501,insert,-0.1934,search_pays,0.0434,0.4268
sciml_vanderpol,sciml,6,50,200,0.85,0.615,0.1076,0.0865,insert,-0.1934,search_pays,0.0434,0.3794
sciml_vanderpol,sciml,6,100,200,0.915,0.625,0.0782,0.0625,insert,-0.1934,search_pays,0.0434,0.3296
sciml_vanderpol,sciml,6,200,200,0.995,0.73,0.0454,0.0394,insert,-0.1934,search_pays,0.0434,0.2649
sciml_vanderpol,sciml,6,500,200,1.0,0.94,0.0199,0.0238,insert,-0.1934,search_pays,0.0434,0.1591
sciml_lorenz63,sciml,6,20,200,0.555,0.83,0.1997,0.2137,insert,-0.4323,search_pays,0.2823,0.0995
sciml_lorenz63,sciml,6,50,200,0.69,0.92,0.13,0.13,insert,-0.4323,search_pays,0.2823,0.0163
sciml_lorenz63,sciml,6,100,200,0.71,0.94,0.1053,0.0959,insert,-0.4323,search_pays,0.2823,0.0011
sciml_lorenz63,sciml,6,200,200,0.925,0.995,0.0502,0.0562,insert,-0.4323,search_pays,0.2823,0.0
sciml_lorenz63,sciml,6,500,200,0.985,1.0,0.0187,0.0397,insert,-0.4323,search_pays,0.2823,0.0
sciml_rossler,sciml,6,20,200,0.705,0.67,0.2087,0.1571,insert,-0.2725,search_pays,0.1225,0.2982
sciml_rossler,sciml,6,50,200,0.88,0.77,0.1131,0.0877,insert,-0.2725,search_pays,0.1225,0.1893
sciml_rossler,sciml,6,100,200,0.92,0.86,0.083,0.0657,insert,-0.2725,search_pays,0.1225,0.103
sciml_rossler,sciml,6,200,200,1.0,0.975,0.0449,0.0408,insert,-0.2725,search_pays,0.1225,0.0357
sciml_rossler,sciml,6,500,200,1.0,1.0,0.0183,0.0241,insert,-0.2725,search_pays,0.1225,0.0021
sciml_lotka_volterra,sciml,6,20,200,0.545,0.55,0.1696,0.2171,insert,-0.0972,random_competitive,0.0528,0.4125
sciml_lotka_volterra,sciml,6,50,200,0.73,0.73,0.0975,0.1384,insert,-0.0972,random_competitive,0.0528,0.3566
sciml_lotka_volterra,sciml,6,100,200,0.8,0.765,0.0662,0.0966,insert,-0.0972,random_competitive,0.0528,0.2988
sciml_lotka_volterra,sciml,6,200,200,0.915,0.84,0.0448,0.0608,insert,-0.0972,random_competitive,0.0528,0.2259
sciml_lotka_volterra,sciml,6,500,200,0.995,0.99,0.0189,0.0379,insert,-0.0972,random_competitive,0.0528,0.1161
hamming_n7,synthetic,7,20,200,0.72,0.945,0.1713,0.1275,swap,-0.8244,search_pays,0.6744,0.0
hamming_n7,synthetic,7,50,200,0.88,0.99,0.0853,0.072,swap,-0.8244,search_pays,0.6744,0.0
hamming_n7,synthetic,7,100,200,0.96,1.0,0.0427,0.0514,swap,-0.8244,search_pays,0.6744,0.0
hamming_n7,synthetic,7,200,200,1.0,1.0,0.0169,0.0308,swap,-0.8244,search_pays,0.6744,0.0
hamming_n7,synthetic,7,500,200,1.0,1.0,0.0103,0.0199,swap,-0.8244,search_pays,0.6744,0.0
kendall_n7,synthetic,7,20,200,0.69,0.96,0.175,0.097,insert,-0.7537,search_pays,0.6037,0.0003
kendall_n7,synthetic,7,50,200,0.87,0.99,0.0909,0.0514,insert,-0.7537,search_pays,0.6037,0.0
kendall_n7,synthetic,7,100,200,0.92,0.995,0.0647,0.0397,insert,-0.7537,search_pays,0.6037,0.0
kendall_n7,synthetic,7,200,200,1.0,1.0,0.0232,0.0239,insert,-0.7537,search_pays,0.6037,0.0
kendall_n7,synthetic,7,500,200,1.0,1.0,0.0139,0.0133,insert,-0.7537,search_pays,0.6037,0.0
adjacency_n7,synthetic,7,20,200,0.69,0.715,0.1809,0.1138,inversion,-0.281,search_pays,0.131,0.2852
adjacency_n7,synthetic,7,50,200,0.915,0.815,0.1172,0.0616,inversion,-0.281,search_pays,0.131,0.1727
adjacency_n7,synthetic,7,100,200,0.98,0.905,0.0769,0.0426,inversion,-0.281,search_pays,0.131,0.0877
adjacency_n7,synthetic,7,200,200,0.995,0.955,0.0563,0.031,inversion,-0.281,search_pays,0.131,0.0267
adjacency_n7,synthetic,7,500,200,1.0,1.0,0.0354,0.0194,inversion,-0.281,search_pays,0.131,0.0011
deceptive_n7,synthetic,7,20,200,0.72,0.885,0.1735,0.1479,swap,0.8104,do_not_search,0.5104,0.0004
deceptive_n7,synthetic,7,50,200,0.89,0.945,0.091,0.0816,swap,0.8104,do_not_search,0.5104,0.0
deceptive_n7,synthetic,7,100,200,0.93,0.98,0.0703,0.0579,swap,0.8104,do_not_search,0.5104,0.0
deceptive_n7,synthetic,7,200,200,0.925,0.995,0.0571,0.0508,swap,0.8104,do_not_search,0.5104,0.0
deceptive_n7,synthetic,7,500,200,0.995,1.0,0.0232,0.0457,swap,0.8104,do_not_search,0.5104,0.0
